Inexperienced School Leaders,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Principals,Number of Inexperienced Principals,Percent of Inexperienced Assistant Principals,Number of Inexperienced Assistant Principals
2023 - 2024,SCH,Albemarle County Public Schools,Stone Robinson Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Stony Point Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Stony Point Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Stony Point Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Stony Point Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Virginia L. Murray Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Virginia L. Murray Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Virginia L. Murray Elementary,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Virginia L. Murray Elementary,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Western Albemarle High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Western Albemarle High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Western Albemarle High,Low Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Western Albemarle High,Low Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Woodbrook Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Albemarle County Public Schools,Woodbrook Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Alexandria City High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Alexandria City High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Charles Barrett Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Charles Barrett Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Cora Kelly School for Math Science and Technology,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Cora Kelly School for Math Science and Technology,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Douglas MacArthur Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Douglas MacArthur Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Ferdinand T. Day Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Ferdinand T. Day Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Francis C. Hammond Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,Francis C. Hammond Middle,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,George Mason Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,George Mason Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Alexandria City Public Schools,George Washington Middle,All Schools,All Schools,0,0,0,0
