Inexperienced School Leaders,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Level,Division,School,Poverty Level,Title1 Code,Percent of Inexperienced Principals,Number of Inexperienced Principals,Percent of Inexperienced Assistant Principals,Number of Inexperienced Assistant Principals
2023 - 2024,SCH,Newport News City Public Schools,Ethel M. Gildersleeve Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Ethel M. Gildersleeve Middle,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Ethel M. Gildersleeve Middle,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,General Stanford Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,General Stanford Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,General Stanford Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,General Stanford Elementary,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,George J. McIntosh Elementary ,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,George J. McIntosh Elementary ,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,George J. McIntosh Elementary ,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,George J. McIntosh Elementary ,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Heritage High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Heritage High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Heritage High,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Heritage High,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Hidenwood Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Hidenwood Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Hidenwood Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Hidenwood Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Hilton Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Hilton Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Hilton Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Hilton Elementary,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Homer L. Hines Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Homer L. Hines Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Homer L. Hines Middle,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Homer L. Hines Middle,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Huntington Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Huntington Middle,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Huntington Middle,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Huntington Middle,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,John Marshall Early Childhood Center,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,John Marshall Early Childhood Center,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,John Marshall Early Childhood Center,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,John Marshall Early Childhood Center,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Joseph H. Saunders Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Joseph H. Saunders Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Joseph H. Saunders Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Joseph H. Saunders Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Katherine Johnson Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Katherine Johnson Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Katherine Johnson Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Katherine Johnson Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Kiln Creek Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Kiln Creek Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Kiln Creek Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Kiln Creek Elementary,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Knollwood Meadows Elementary ,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Knollwood Meadows Elementary ,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Knollwood Meadows Elementary ,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Knollwood Meadows Elementary ,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,L.F. Palmer Elementary ,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,L.F. Palmer Elementary ,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,L.F. Palmer Elementary ,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,L.F. Palmer Elementary ,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Mary Passage Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Mary Passage Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Mary Passage Middle,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Mary Passage Middle,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Menchville High,All Schools,All Schools,0,0,20,1
2023 - 2024,SCH,Newport News City Public Schools,Menchville High,All Schools,Non-Title I,0,0,20,1
2023 - 2024,SCH,Newport News City Public Schools,Menchville High,High Poverty,All Schools,0,0,20,1
2023 - 2024,SCH,Newport News City Public Schools,Menchville High,High Poverty,Non-Title I,0,0,20,1
2023 - 2024,SCH,Newport News City Public Schools,Newsome Park Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Newsome Park Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Newsome Park Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Newsome Park Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Oliver C. Greenwood Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Oliver C. Greenwood Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Oliver C. Greenwood Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Oliver C. Greenwood Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Richard T. Yates Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Richard T. Yates Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Richard T. Yates Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Richard T. Yates Elementary,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Richneck Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Richneck Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Richneck Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Richneck Elementary,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Riverside Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Riverside Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Riverside Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Riverside Elementary,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Sedgefield Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Sedgefield Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Sedgefield Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Sedgefield Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Stoney Run Elementary ,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Stoney Run Elementary ,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Stoney Run Elementary ,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Stoney Run Elementary ,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,T. Ryland Sanford Elementary,All Schools,All Schools,100,1,0,0
2023 - 2024,SCH,Newport News City Public Schools,T. Ryland Sanford Elementary,All Schools,Title I,100,1,0,0
2023 - 2024,SCH,Newport News City Public Schools,T. Ryland Sanford Elementary,High Poverty,All Schools,100,1,0,0
2023 - 2024,SCH,Newport News City Public Schools,T. Ryland Sanford Elementary,High Poverty,Title I,100,1,0,0
2023 - 2024,SCH,Newport News City Public Schools,Warwick High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Warwick High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Warwick High,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Warwick High,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Willis A. Jenkins Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Willis A. Jenkins Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Willis A. Jenkins Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Willis A. Jenkins Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Woodside High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Woodside High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Woodside High,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Newport News City Public Schools,Woodside High,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Academy for Discovery at Lakewood,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Academy for Discovery at Lakewood,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Academy for Discovery at Lakewood,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Academy for Discovery at Lakewood,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Azalea Gardens Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Azalea Gardens Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Azalea Gardens Middle,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Azalea Gardens Middle,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Bay View Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Bay View Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Bay View Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Bay View Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Blair Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Blair Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Blair Middle,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Blair Middle,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Booker T Washington High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Booker T Washington High,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Booker T Washington High,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Booker T Washington High,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Camp Allen Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Camp Allen Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Camp Allen Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Camp Allen Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Chesterfield Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Chesterfield Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Chesterfield Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Chesterfield Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Coleman Place Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Coleman Place Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Coleman Place Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Coleman Place Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Crossroads PreK-8 School,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Crossroads PreK-8 School,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Crossroads PreK-8 School,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Crossroads PreK-8 School,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Ghent K-8,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Ghent K-8,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Ghent K-8,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Ghent K-8,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Granby Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Granby Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Granby Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Granby Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Granby High,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Granby High,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Granby High,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Granby High,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Ingleside Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Ingleside Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Ingleside Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Ingleside Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Jacox Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Jacox Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Jacox Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Jacox Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,James Monroe Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,James Monroe Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,James Monroe Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,James Monroe Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Lake Taylor,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Lake Taylor,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Lake Taylor,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Lake Taylor,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Lake Taylor High ,All Schools,All Schools,0,0,33.3,1
2023 - 2024,SCH,Norfolk City Public Schools,Lake Taylor High ,All Schools,Non-Title I,0,0,33.3,1
2023 - 2024,SCH,Norfolk City Public Schools,Lake Taylor High ,High Poverty,All Schools,0,0,33.3,1
2023 - 2024,SCH,Norfolk City Public Schools,Lake Taylor High ,High Poverty,Non-Title I,0,0,33.3,1
2023 - 2024,SCH,Norfolk City Public Schools,Larchmont Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Larchmont Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Larchmont Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Larchmont Elementary,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Larrymore Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Larrymore Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Larrymore Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Larrymore Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Lindenwood Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Lindenwood Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Lindenwood Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Lindenwood Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Little Creek Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Little Creek Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Little Creek Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Little Creek Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Mary Calcott Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Mary Calcott Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Mary Calcott Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Mary Calcott Elementary,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Matthew Fontaine Maury High,All Schools,All Schools,0,0,25,1
2023 - 2024,SCH,Norfolk City Public Schools,Matthew Fontaine Maury High,All Schools,Non-Title I,0,0,25,1
2023 - 2024,SCH,Norfolk City Public Schools,Matthew Fontaine Maury High,High Poverty,All Schools,0,0,25,1
2023 - 2024,SCH,Norfolk City Public Schools,Matthew Fontaine Maury High,High Poverty,Non-Title I,0,0,25,1
2023 - 2024,SCH,Norfolk City Public Schools,Northside Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Northside Middle,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Northside Middle,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Northside Middle,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Norview Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Norview Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Norview Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Norview Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Norview High,All Schools,All Schools,0,0,20,1
2023 - 2024,SCH,Norfolk City Public Schools,Norview High,All Schools,Non-Title I,0,0,20,1
2023 - 2024,SCH,Norfolk City Public Schools,Norview High,High Poverty,All Schools,0,0,20,1
2023 - 2024,SCH,Norfolk City Public Schools,Norview High,High Poverty,Non-Title I,0,0,20,1
2023 - 2024,SCH,Norfolk City Public Schools,Norview Middle,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Norview Middle,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Norview Middle,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Norview Middle,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Ocean View Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Ocean View Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Ocean View Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Ocean View Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Oceanair Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Oceanair Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Oceanair Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Oceanair Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,P.B. Young Sr. Elementary ,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,P.B. Young Sr. Elementary ,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,P.B. Young Sr. Elementary ,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,P.B. Young Sr. Elementary ,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Richard Bowling Elementary,All Schools,All Schools,0,0,100,1
2023 - 2024,SCH,Norfolk City Public Schools,Richard Bowling Elementary,All Schools,Title I,0,0,100,1
2023 - 2024,SCH,Norfolk City Public Schools,Richard Bowling Elementary,High Poverty,All Schools,0,0,100,1
2023 - 2024,SCH,Norfolk City Public Schools,Richard Bowling Elementary,High Poverty,Title I,0,0,100,1
2023 - 2024,SCH,Norfolk City Public Schools,Ruffner School,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Ruffner School,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Ruffner School,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Ruffner School,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Sewells Point Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Sewells Point Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Sewells Point Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Sewells Point Elementary,High Poverty,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Sherwood Forest Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Sherwood Forest Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Sherwood Forest Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Sherwood Forest Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Southside STEM Academy at Campostella ,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Southside STEM Academy at Campostella ,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Southside STEM Academy at Campostella ,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Southside STEM Academy at Campostella ,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,St. Helena Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,St. Helena Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,St. Helena Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,St. Helena Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Suburban Park Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Suburban Park Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Suburban Park Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Suburban Park Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Tanners Creek Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Tanners Creek Elementary,All Schools,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Tanners Creek Elementary,High Poverty,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Tanners Creek Elementary,High Poverty,Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Tarrallton Elementary,All Schools,All Schools,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Tarrallton Elementary,All Schools,Non-Title I,0,0,0,0
2023 - 2024,SCH,Norfolk City Public Schools,Tarrallton Elementary,High Poverty,All Schools,0,0,0,0
