On-time Graduation Rate,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Level,Division,School,Subgroup,Cohort,Graduation Count,Virginia On-Time Graduation Rate,Completer Count,Completion Rate
2023,SCH,Accomack County Public Schools,Nandua High,White,50,45,90,45,90
2023,SCH,Accomack County Public Schools,Tangier Combined,All Students,<,<,<,<,<
2023,SCH,Accomack County Public Schools,Tangier Combined,Economically Disadvantaged,<,<,<,<,<
2023,SCH,Accomack County Public Schools,Tangier Combined,Female,<,<,<,<,<
2023,SCH,Accomack County Public Schools,Tangier Combined,Male,<,<,100,<,100
2023,SCH,Accomack County Public Schools,Tangier Combined,White,<,<,<,<,<
2023,SCH,Albemarle County Public Schools,Albemarle High,All Students,503,456,90.7,458,91.1
2023,SCH,Albemarle County Public Schools,Albemarle High,Asian,39,35,89.7,35,89.7
2023,SCH,Albemarle County Public Schools,Albemarle High,Black,83,76,91.6,76,91.6
2023,SCH,Albemarle County Public Schools,Albemarle High,Economically Disadvantaged,174,154,88.5,154,88.5
2023,SCH,Albemarle County Public Schools,Albemarle High,English Learners,70,48,68.6,48,68.6
2023,SCH,Albemarle County Public Schools,Albemarle High,Female,231,208,90,209,90.5
2023,SCH,Albemarle County Public Schools,Albemarle High,Foster Care,10,8,80,8,80
2023,SCH,Albemarle County Public Schools,Albemarle High,Hispanic,108,84,77.8,84,77.8
2023,SCH,Albemarle County Public Schools,Albemarle High,Homeless,10,9,90,9,90
2023,SCH,Albemarle County Public Schools,Albemarle High,Male,271,247,91.1,248,91.5
2023,SCH,Albemarle County Public Schools,Albemarle High,Military Connected,11,11,100,11,100
2023,SCH,Albemarle County Public Schools,Albemarle High,Multiple Races,24,24,100,24,100
2023,SCH,Albemarle County Public Schools,Albemarle High,Students with Disabilities,53,49,92.5,49,92.5
2023,SCH,Albemarle County Public Schools,Albemarle High,White,249,237,95.2,239,96
2023,SCH,Albemarle County Public Schools,Community Lab School,All Students,19,19,100,19,100
2023,SCH,Albemarle County Public Schools,Community Lab School,Asian,<,<,100,<,100
2023,SCH,Albemarle County Public Schools,Community Lab School,Economically Disadvantaged,<,<,100,<,100
2023,SCH,Albemarle County Public Schools,Community Lab School,English Learners,<,<,100,<,100
2023,SCH,Albemarle County Public Schools,Community Lab School,Female,13,13,100,13,100
2023,SCH,Albemarle County Public Schools,Community Lab School,Hispanic,<,<,100,<,100
2023,SCH,Albemarle County Public Schools,Community Lab School,Male,<,<,100,<,100
2023,SCH,Albemarle County Public Schools,Community Lab School,Military Connected,<,<,100,<,100
