On-time Graduation Rate,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Level,Division,School,Subgroup,Cohort,Graduation Count,Virginia On-Time Graduation Rate,Completer Count,Completion Rate
2023,SCH,Carroll County Public Schools,Carroll County High,Students with Disabilities,34,27,79.4,27,79.4
2023,SCH,Carroll County Public Schools,Carroll County High,White,225,206,91.6,210,93.3
2023,SCH,Charles City County Public Schools,Charles City County High,All Students,34,31,91.2,31,91.2
2023,SCH,Charles City County Public Schools,Charles City County High,American Indian,<,<,100,<,100
2023,SCH,Charles City County Public Schools,Charles City County High,Black,17,16,94.1,16,94.1
2023,SCH,Charles City County Public Schools,Charles City County High,Economically Disadvantaged,22,20,90.9,20,90.9
2023,SCH,Charles City County Public Schools,Charles City County High,Female,12,12,100,12,100
2023,SCH,Charles City County Public Schools,Charles City County High,Hispanic,<,<,100,<,100
2023,SCH,Charles City County Public Schools,Charles City County High,Homeless,<,<,100,<,100
2023,SCH,Charles City County Public Schools,Charles City County High,Male,22,19,86.4,19,86.4
2023,SCH,Charles City County Public Schools,Charles City County High,Multiple Races,<,<,100,<,100
2023,SCH,Charles City County Public Schools,Charles City County High,Students with Disabilities,<,<,<,<,<
2023,SCH,Charles City County Public Schools,Charles City County High,White,<,<,<,<,<
2023,SCH,Charlotte County Public Schools,Randolph-Henry High,All Students,129,116,89.9,119,92.2
2023,SCH,Charlotte County Public Schools,Randolph-Henry High,Black,38,35,92.1,35,92.1
2023,SCH,Charlotte County Public Schools,Randolph-Henry High,Economically Disadvantaged,73,60,82.2,63,86.3
2023,SCH,Charlotte County Public Schools,Randolph-Henry High,Female,68,61,89.7,62,91.2
2023,SCH,Charlotte County Public Schools,Randolph-Henry High,Foster Care,<,<,<,<,<
2023,SCH,Charlotte County Public Schools,Randolph-Henry High,Hispanic,<,<,<,<,<
2023,SCH,Charlotte County Public Schools,Randolph-Henry High,Homeless,<,<,100,<,100
2023,SCH,Charlotte County Public Schools,Randolph-Henry High,Male,61,55,90.2,57,93.4
2023,SCH,Charlotte County Public Schools,Randolph-Henry High,Military Connected,<,<,100,<,100
2023,SCH,Charlotte County Public Schools,Randolph-Henry High,Multiple Races,<,<,100,<,100
2023,SCH,Charlotte County Public Schools,Randolph-Henry High,Students with Disabilities,27,20,74.1,22,81.5
2023,SCH,Charlotte County Public Schools,Randolph-Henry High,White,76,67,88.2,70,92.1
2023,SCH,Charlottesville City Public Schools,Charlottesville High,All Students,307,275,89.6,279,90.9
2023,SCH,Charlottesville City Public Schools,Charlottesville High,Asian,10,9,90,9,90
2023,SCH,Charlottesville City Public Schools,Charlottesville High,Black,75,63,84,63,84
2023,SCH,Charlottesville City Public Schools,Charlottesville High,Economically Disadvantaged,156,132,84.6,135,86.5
2023,SCH,Charlottesville City Public Schools,Charlottesville High,English Learners,51,42,82.4,42,82.4
2023,SCH,Charlottesville City Public Schools,Charlottesville High,Female,150,137,91.3,138,92
2023,SCH,Charlottesville City Public Schools,Charlottesville High,Foster Care,<,<,<,<,<
2023,SCH,Charlottesville City Public Schools,Charlottesville High,Hispanic,54,43,79.6,46,85.2
2023,SCH,Charlottesville City Public Schools,Charlottesville High,Homeless,14,11,78.6,11,78.6
2023,SCH,Charlottesville City Public Schools,Charlottesville High,Male,157,138,87.9,141,89.8
2023,SCH,Charlottesville City Public Schools,Charlottesville High,Multiple Races,32,29,90.6,29,90.6
2023,SCH,Charlottesville City Public Schools,Charlottesville High,Students with Disabilities,27,23,85.2,24,88.9
2023,SCH,Charlottesville City Public Schools,Charlottesville High,White,136,131,96.3,132,97.1
2023,SCH,Chesapeake City Public Schools,Deep Creek High,All Students,376,336,89.4,347,92.3
2023,SCH,Chesapeake City Public Schools,Deep Creek High,American Indian,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Deep Creek High,Asian,13,13,100,13,100
2023,SCH,Chesapeake City Public Schools,Deep Creek High,Black,141,122,86.5,127,90.1
2023,SCH,Chesapeake City Public Schools,Deep Creek High,Economically Disadvantaged,167,141,84.4,149,89.2
2023,SCH,Chesapeake City Public Schools,Deep Creek High,English Learners,12,10,83.3,10,83.3
2023,SCH,Chesapeake City Public Schools,Deep Creek High,Female,172,156,90.7,160,93
2023,SCH,Chesapeake City Public Schools,Deep Creek High,Hispanic,46,43,93.5,43,93.5
2023,SCH,Chesapeake City Public Schools,Deep Creek High,Homeless,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Deep Creek High,Male,202,178,88.1,185,91.6
2023,SCH,Chesapeake City Public Schools,Deep Creek High,Military Connected,62,58,93.5,60,96.8
2023,SCH,Chesapeake City Public Schools,Deep Creek High,Multiple Races,38,33,86.8,36,94.7
2023,SCH,Chesapeake City Public Schools,Deep Creek High,Native Hawaiian,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Deep Creek High,Students with Disabilities,53,49,92.5,50,94.3
2023,SCH,Chesapeake City Public Schools,Deep Creek High,White,134,121,90.3,124,92.5
2023,SCH,Chesapeake City Public Schools,Grassfield High,All Students,558,540,96.8,543,97.3
2023,SCH,Chesapeake City Public Schools,Grassfield High,American Indian,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Grassfield High,Asian,29,29,100,29,100
2023,SCH,Chesapeake City Public Schools,Grassfield High,Black,100,99,99,99,99
2023,SCH,Chesapeake City Public Schools,Grassfield High,Economically Disadvantaged,97,89,91.8,89,91.8
2023,SCH,Chesapeake City Public Schools,Grassfield High,English Learners,10,10,100,10,100
2023,SCH,Chesapeake City Public Schools,Grassfield High,Female,264,258,97.7,259,98.1
2023,SCH,Chesapeake City Public Schools,Grassfield High,Hispanic,71,70,98.6,70,98.6
2023,SCH,Chesapeake City Public Schools,Grassfield High,Homeless,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Grassfield High,Male,294,282,95.9,284,96.6
2023,SCH,Chesapeake City Public Schools,Grassfield High,Military Connected,155,153,98.7,153,98.7
2023,SCH,Chesapeake City Public Schools,Grassfield High,Multiple Races,58,55,94.8,55,94.8
2023,SCH,Chesapeake City Public Schools,Grassfield High,Native Hawaiian,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Grassfield High,Students with Disabilities,58,53,91.4,53,91.4
2023,SCH,Chesapeake City Public Schools,Grassfield High,White,297,284,95.6,287,96.6
2023,SCH,Chesapeake City Public Schools,Great Bridge High,All Students,418,397,95,408,97.6
2023,SCH,Chesapeake City Public Schools,Great Bridge High,American Indian,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Great Bridge High,Asian,12,12,100,12,100
2023,SCH,Chesapeake City Public Schools,Great Bridge High,Black,83,73,88,76,91.6
2023,SCH,Chesapeake City Public Schools,Great Bridge High,Economically Disadvantaged,100,88,88,94,94
2023,SCH,Chesapeake City Public Schools,Great Bridge High,English Learners,10,9,90,9,90
2023,SCH,Chesapeake City Public Schools,Great Bridge High,Female,211,203,96.2,209,99.1
2023,SCH,Chesapeake City Public Schools,Great Bridge High,Foster Care,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Great Bridge High,Hispanic,44,41,93.2,43,97.7
2023,SCH,Chesapeake City Public Schools,Great Bridge High,Homeless,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Great Bridge High,Male,207,194,93.7,199,96.1
2023,SCH,Chesapeake City Public Schools,Great Bridge High,Military Connected,75,75,100,75,100
2023,SCH,Chesapeake City Public Schools,Great Bridge High,Multiple Races,32,32,100,32,100
2023,SCH,Chesapeake City Public Schools,Great Bridge High,Native Hawaiian,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Great Bridge High,Students with Disabilities,52,49,94.2,51,98.1
2023,SCH,Chesapeake City Public Schools,Great Bridge High,White,245,237,96.7,243,99.2
2023,SCH,Chesapeake City Public Schools,Hickory High,All Students,411,399,97.1,404,98.3
2023,SCH,Chesapeake City Public Schools,Hickory High,American Indian,<,<,<,<,<
2023,SCH,Chesapeake City Public Schools,Hickory High,Asian,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Hickory High,Black,22,22,100,22,100
2023,SCH,Chesapeake City Public Schools,Hickory High,Economically Disadvantaged,49,43,87.8,46,93.9
2023,SCH,Chesapeake City Public Schools,Hickory High,English Learners,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Hickory High,Female,205,200,97.6,202,98.5
2023,SCH,Chesapeake City Public Schools,Hickory High,Hispanic,33,31,93.9,32,97
2023,SCH,Chesapeake City Public Schools,Hickory High,Homeless,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Hickory High,Male,206,199,96.6,202,98.1
2023,SCH,Chesapeake City Public Schools,Hickory High,Military Connected,84,83,98.8,83,98.8
2023,SCH,Chesapeake City Public Schools,Hickory High,Multiple Races,25,25,100,25,100
2023,SCH,Chesapeake City Public Schools,Hickory High,Students with Disabilities,67,62,92.5,64,95.5
2023,SCH,Chesapeake City Public Schools,Hickory High,White,319,310,97.2,313,98.1
2023,SCH,Chesapeake City Public Schools,Indian River High,All Students,458,428,93.4,439,95.9
2023,SCH,Chesapeake City Public Schools,Indian River High,American Indian,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Indian River High,Asian,12,12,100,12,100
2023,SCH,Chesapeake City Public Schools,Indian River High,Black,232,213,91.8,219,94.4
2023,SCH,Chesapeake City Public Schools,Indian River High,Economically Disadvantaged,208,192,92.3,197,94.7
2023,SCH,Chesapeake City Public Schools,Indian River High,English Learners,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Indian River High,Female,218,203,93.1,210,96.3
2023,SCH,Chesapeake City Public Schools,Indian River High,Hispanic,56,51,91.1,51,91.1
2023,SCH,Chesapeake City Public Schools,Indian River High,Homeless,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Indian River High,Male,240,225,93.8,229,95.4
2023,SCH,Chesapeake City Public Schools,Indian River High,Military Connected,51,50,98,51,100
2023,SCH,Chesapeake City Public Schools,Indian River High,Multiple Races,38,38,100,38,100
2023,SCH,Chesapeake City Public Schools,Indian River High,Native Hawaiian,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Indian River High,Students with Disabilities,71,66,93,66,93
2023,SCH,Chesapeake City Public Schools,Indian River High,White,117,111,94.9,116,99.1
2023,SCH,Chesapeake City Public Schools,Oscar F. Smith High,All Students,566,499,88.2,516,91.2
2023,SCH,Chesapeake City Public Schools,Oscar F. Smith High,Asian,17,17,100,17,100
2023,SCH,Chesapeake City Public Schools,Oscar F. Smith High,Black,321,277,86.3,288,89.7
2023,SCH,Chesapeake City Public Schools,Oscar F. Smith High,Economically Disadvantaged,305,254,83.3,268,87.9
2023,SCH,Chesapeake City Public Schools,Oscar F. Smith High,English Learners,18,14,77.8,15,83.3
2023,SCH,Chesapeake City Public Schools,Oscar F. Smith High,Female,288,264,91.7,269,93.4
2023,SCH,Chesapeake City Public Schools,Oscar F. Smith High,Foster Care,<,<,<,<,<
2023,SCH,Chesapeake City Public Schools,Oscar F. Smith High,Hispanic,82,68,82.9,71,86.6
2023,SCH,Chesapeake City Public Schools,Oscar F. Smith High,Homeless,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Oscar F. Smith High,Male,276,233,84.4,245,88.8
2023,SCH,Chesapeake City Public Schools,Oscar F. Smith High,Military Connected,45,45,100,45,100
2023,SCH,Chesapeake City Public Schools,Oscar F. Smith High,Multiple Races,33,32,97,32,97
2023,SCH,Chesapeake City Public Schools,Oscar F. Smith High,Native Hawaiian,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Oscar F. Smith High,Students with Disabilities,87,74,85.1,75,86.2
2023,SCH,Chesapeake City Public Schools,Oscar F. Smith High,White,109,101,92.7,104,95.4
2023,SCH,Chesapeake City Public Schools,Western Branch High,All Students,517,481,93,487,94.2
2023,SCH,Chesapeake City Public Schools,Western Branch High,American Indian,<,<,100,<,100
2023,SCH,Chesapeake City Public Schools,Western Branch High,Asian,18,18,100,18,100
2023,SCH,Chesapeake City Public Schools,Western Branch High,Black,212,197,92.9,200,94.3
2023,SCH,Chesapeake City Public Schools,Western Branch High,Economically Disadvantaged,191,168,88,172,90.1
2023,SCH,Chesapeake City Public Schools,Western Branch High,English Learners,10,10,100,10,100
2023,SCH,Chesapeake City Public Schools,Western Branch High,Female,257,242,94.2,245,95.3
2023,SCH,Chesapeake City Public Schools,Western Branch High,Hispanic,36,33,91.7,33,91.7
2023,SCH,Chesapeake City Public Schools,Western Branch High,Male,257,237,92.2,239,93
2023,SCH,Chesapeake City Public Schools,Western Branch High,Military Connected,64,62,96.9,62,96.9
2023,SCH,Chesapeake City Public Schools,Western Branch High,Multiple Races,41,40,97.6,40,97.6
2023,SCH,Chesapeake City Public Schools,Western Branch High,Native Hawaiian,<,<,<,<,<
2023,SCH,Chesapeake City Public Schools,Western Branch High,Students with Disabilities,87,73,83.9,76,87.4
2023,SCH,Chesapeake City Public Schools,Western Branch High,White,206,190,92.2,193,93.7
2023,SCH,Chesterfield County Public Schools,Carver College and Career Academy,All Students,146,51,34.9,89,61
2023,SCH,Chesterfield County Public Schools,Carver College and Career Academy,Black,63,30,47.6,39,61.9
2023,SCH,Chesterfield County Public Schools,Carver College and Career Academy,Economically Disadvantaged,102,31,30.4,58,56.9
2023,SCH,Chesterfield County Public Schools,Carver College and Career Academy,English Learners,12,3,25,6,50
2023,SCH,Chesterfield County Public Schools,Carver College and Career Academy,Female,72,23,31.9,43,59.7
2023,SCH,Chesterfield County Public Schools,Carver College and Career Academy,Foster Care,<,<,<,<,<
2023,SCH,Chesterfield County Public Schools,Carver College and Career Academy,Hispanic,27,5,18.5,13,48.1
2023,SCH,Chesterfield County Public Schools,Carver College and Career Academy,Homeless,<,<,<,<,<
2023,SCH,Chesterfield County Public Schools,Carver College and Career Academy,Male,74,28,37.8,46,62.2
2023,SCH,Chesterfield County Public Schools,Carver College and Career Academy,Military Connected,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Carver College and Career Academy,Multiple Races,<,<,<,<,<
2023,SCH,Chesterfield County Public Schools,Carver College and Career Academy,Students with Disabilities,31,16,51.6,17,54.8
2023,SCH,Chesterfield County Public Schools,Carver College and Career Academy,White,52,14,26.9,34,65.4
2023,SCH,Chesterfield County Public Schools,Clover Hill High,All Students,461,443,96.1,443,96.1
2023,SCH,Chesterfield County Public Schools,Clover Hill High,American Indian,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Clover Hill High,Asian,31,31,100,31,100
2023,SCH,Chesterfield County Public Schools,Clover Hill High,Black,120,117,97.5,117,97.5
2023,SCH,Chesterfield County Public Schools,Clover Hill High,Economically Disadvantaged,167,157,94,157,94
2023,SCH,Chesterfield County Public Schools,Clover Hill High,English Learners,51,47,92.2,47,92.2
2023,SCH,Chesterfield County Public Schools,Clover Hill High,Female,231,224,97,224,97
2023,SCH,Chesterfield County Public Schools,Clover Hill High,Hispanic,67,60,89.6,60,89.6
2023,SCH,Chesterfield County Public Schools,Clover Hill High,Homeless,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Clover Hill High,Male,230,219,95.2,219,95.2
2023,SCH,Chesterfield County Public Schools,Clover Hill High,Military Connected,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Clover Hill High,Multiple Races,28,28,100,28,100
2023,SCH,Chesterfield County Public Schools,Clover Hill High,Students with Disabilities,54,54,100,54,100
2023,SCH,Chesterfield County Public Schools,Clover Hill High,White,213,205,96.2,205,96.2
2023,SCH,Chesterfield County Public Schools,Cosby High,All Students,589,579,98.3,579,98.3
2023,SCH,Chesterfield County Public Schools,Cosby High,American Indian,<,<,<,<,<
2023,SCH,Chesterfield County Public Schools,Cosby High,Asian,33,33,100,33,100
2023,SCH,Chesterfield County Public Schools,Cosby High,Black,91,91,100,91,100
2023,SCH,Chesterfield County Public Schools,Cosby High,Economically Disadvantaged,92,89,96.7,89,96.7
2023,SCH,Chesterfield County Public Schools,Cosby High,English Learners,30,30,100,30,100
2023,SCH,Chesterfield County Public Schools,Cosby High,Female,313,309,98.7,309,98.7
2023,SCH,Chesterfield County Public Schools,Cosby High,Foster Care,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Cosby High,Hispanic,49,48,98,48,98
2023,SCH,Chesterfield County Public Schools,Cosby High,Homeless,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Cosby High,Male,276,270,97.8,270,97.8
2023,SCH,Chesterfield County Public Schools,Cosby High,Military Connected,20,20,100,20,100
2023,SCH,Chesterfield County Public Schools,Cosby High,Multiple Races,24,23,95.8,23,95.8
2023,SCH,Chesterfield County Public Schools,Cosby High,Native Hawaiian,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Cosby High,Students with Disabilities,35,35,100,35,100
2023,SCH,Chesterfield County Public Schools,Cosby High,White,389,382,98.2,382,98.2
2023,SCH,Chesterfield County Public Schools,James River High,All Students,501,464,92.6,464,92.6
2023,SCH,Chesterfield County Public Schools,James River High,Asian,22,21,95.5,21,95.5
2023,SCH,Chesterfield County Public Schools,James River High,Black,65,59,90.8,59,90.8
2023,SCH,Chesterfield County Public Schools,James River High,Economically Disadvantaged,178,165,92.7,165,92.7
2023,SCH,Chesterfield County Public Schools,James River High,English Learners,93,75,80.6,75,80.6
2023,SCH,Chesterfield County Public Schools,James River High,Female,262,246,93.9,246,93.9
2023,SCH,Chesterfield County Public Schools,James River High,Hispanic,106,87,82.1,87,82.1
2023,SCH,Chesterfield County Public Schools,James River High,Homeless,<,<,<,<,<
2023,SCH,Chesterfield County Public Schools,James River High,Male,239,218,91.2,218,91.2
2023,SCH,Chesterfield County Public Schools,James River High,Military Connected,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,James River High,Multiple Races,21,20,95.2,20,95.2
2023,SCH,Chesterfield County Public Schools,James River High,Students with Disabilities,41,37,90.2,37,90.2
2023,SCH,Chesterfield County Public Schools,James River High,White,287,277,96.5,277,96.5
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,All Students,491,445,90.6,446,90.8
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,American Indian,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,Asian,10,10,100,10,100
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,Black,194,183,94.3,183,94.3
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,Economically Disadvantaged,240,215,89.6,216,90
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,English Learners,116,95,81.9,96,82.8
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,Female,239,215,90,216,90.4
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,Foster Care,<,<,<,<,<
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,Hispanic,144,121,84,122,84.7
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,Homeless,<,<,<,<,<
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,Male,252,230,91.3,230,91.3
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,Military Connected,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,Multiple Races,25,23,92,23,92
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,Native Hawaiian,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,Students with Disabilities,47,43,91.5,43,91.5
2023,SCH,Chesterfield County Public Schools,Lloyd C. Bird High,White,116,106,91.4,106,91.4
2023,SCH,Chesterfield County Public Schools,Manchester High,All Students,518,479,92.5,479,92.5
2023,SCH,Chesterfield County Public Schools,Manchester High,American Indian,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Manchester High,Asian,12,12,100,12,100
2023,SCH,Chesterfield County Public Schools,Manchester High,Black,168,153,91.1,153,91.1
2023,SCH,Chesterfield County Public Schools,Manchester High,Economically Disadvantaged,210,187,89,187,89
2023,SCH,Chesterfield County Public Schools,Manchester High,English Learners,50,39,78,39,78
2023,SCH,Chesterfield County Public Schools,Manchester High,Female,239,231,96.7,231,96.7
2023,SCH,Chesterfield County Public Schools,Manchester High,Hispanic,73,59,80.8,59,80.8
2023,SCH,Chesterfield County Public Schools,Manchester High,Homeless,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Manchester High,Male,279,248,88.9,248,88.9
2023,SCH,Chesterfield County Public Schools,Manchester High,Military Connected,<,<,<,<,<
2023,SCH,Chesterfield County Public Schools,Manchester High,Multiple Races,26,25,96.2,25,96.2
2023,SCH,Chesterfield County Public Schools,Manchester High,Native Hawaiian,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Manchester High,Students with Disabilities,71,65,91.5,65,91.5
2023,SCH,Chesterfield County Public Schools,Manchester High,White,236,227,96.2,227,96.2
2023,SCH,Chesterfield County Public Schools,Matoaca High,All Students,416,387,93,388,93.3
2023,SCH,Chesterfield County Public Schools,Matoaca High,American Indian,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Matoaca High,Asian,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Matoaca High,Black,163,150,92,150,92
2023,SCH,Chesterfield County Public Schools,Matoaca High,Economically Disadvantaged,157,136,86.6,136,86.6
2023,SCH,Chesterfield County Public Schools,Matoaca High,English Learners,15,14,93.3,14,93.3
2023,SCH,Chesterfield County Public Schools,Matoaca High,Female,201,191,95,192,95.5
2023,SCH,Chesterfield County Public Schools,Matoaca High,Hispanic,39,37,94.9,37,94.9
2023,SCH,Chesterfield County Public Schools,Matoaca High,Homeless,<,<,<,<,<
2023,SCH,Chesterfield County Public Schools,Matoaca High,Male,215,196,91.2,196,91.2
2023,SCH,Chesterfield County Public Schools,Matoaca High,Military Connected,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Matoaca High,Multiple Races,24,22,91.7,23,95.8
2023,SCH,Chesterfield County Public Schools,Matoaca High,Students with Disabilities,33,28,84.8,28,84.8
2023,SCH,Chesterfield County Public Schools,Matoaca High,White,182,170,93.4,170,93.4
2023,SCH,Chesterfield County Public Schools,Meadowbrook High,All Students,521,422,81,423,81.2
2023,SCH,Chesterfield County Public Schools,Meadowbrook High,Asian,<,<,<,<,<
2023,SCH,Chesterfield County Public Schools,Meadowbrook High,Black,218,197,90.4,197,90.4
2023,SCH,Chesterfield County Public Schools,Meadowbrook High,Economically Disadvantaged,303,248,81.8,249,82.2
2023,SCH,Chesterfield County Public Schools,Meadowbrook High,English Learners,194,138,71.1,139,71.6
2023,SCH,Chesterfield County Public Schools,Meadowbrook High,Female,257,222,86.4,222,86.4
2023,SCH,Chesterfield County Public Schools,Meadowbrook High,Foster Care,<,<,<,<,<
2023,SCH,Chesterfield County Public Schools,Meadowbrook High,Hispanic,260,191,73.5,192,73.8
2023,SCH,Chesterfield County Public Schools,Meadowbrook High,Homeless,<,<,<,<,<
2023,SCH,Chesterfield County Public Schools,Meadowbrook High,Male,264,200,75.8,201,76.1
2023,SCH,Chesterfield County Public Schools,Meadowbrook High,Military Connected,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Meadowbrook High,Multiple Races,12,10,83.3,10,83.3
2023,SCH,Chesterfield County Public Schools,Meadowbrook High,Students with Disabilities,34,26,76.5,27,79.4
2023,SCH,Chesterfield County Public Schools,Meadowbrook High,White,26,21,80.8,21,80.8
2023,SCH,Chesterfield County Public Schools,Midlothian High,All Students,513,497,96.9,497,96.9
2023,SCH,Chesterfield County Public Schools,Midlothian High,American Indian,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Midlothian High,Asian,26,25,96.2,25,96.2
2023,SCH,Chesterfield County Public Schools,Midlothian High,Black,48,47,97.9,47,97.9
2023,SCH,Chesterfield County Public Schools,Midlothian High,Economically Disadvantaged,77,73,94.8,73,94.8
2023,SCH,Chesterfield County Public Schools,Midlothian High,English Learners,23,23,100,23,100
2023,SCH,Chesterfield County Public Schools,Midlothian High,Female,279,272,97.5,272,97.5
2023,SCH,Chesterfield County Public Schools,Midlothian High,Hispanic,29,27,93.1,27,93.1
2023,SCH,Chesterfield County Public Schools,Midlothian High,Homeless,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Midlothian High,Male,234,225,96.2,225,96.2
2023,SCH,Chesterfield County Public Schools,Midlothian High,Military Connected,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Midlothian High,Multiple Races,24,24,100,24,100
2023,SCH,Chesterfield County Public Schools,Midlothian High,Native Hawaiian,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Midlothian High,Students with Disabilities,52,48,92.3,48,92.3
2023,SCH,Chesterfield County Public Schools,Midlothian High,White,382,370,96.9,370,96.9
2023,SCH,Chesterfield County Public Schools,Monacan High,All Students,403,376,93.3,377,93.5
2023,SCH,Chesterfield County Public Schools,Monacan High,Asian,15,15,100,15,100
2023,SCH,Chesterfield County Public Schools,Monacan High,Black,98,91,92.9,91,92.9
2023,SCH,Chesterfield County Public Schools,Monacan High,Economically Disadvantaged,158,140,88.6,141,89.2
2023,SCH,Chesterfield County Public Schools,Monacan High,English Learners,54,49,90.7,49,90.7
2023,SCH,Chesterfield County Public Schools,Monacan High,Female,213,206,96.7,207,97.2
2023,SCH,Chesterfield County Public Schools,Monacan High,Foster Care,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Monacan High,Hispanic,77,70,90.9,70,90.9
2023,SCH,Chesterfield County Public Schools,Monacan High,Homeless,<,<,<,<,<
2023,SCH,Chesterfield County Public Schools,Monacan High,Male,190,170,89.5,170,89.5
2023,SCH,Chesterfield County Public Schools,Monacan High,Military Connected,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Monacan High,Multiple Races,16,14,87.5,14,87.5
2023,SCH,Chesterfield County Public Schools,Monacan High,Students with Disabilities,27,20,74.1,21,77.8
2023,SCH,Chesterfield County Public Schools,Monacan High,White,197,186,94.4,187,94.9
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,All Students,640,598,93.4,598,93.4
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,American Indian,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,Asian,23,23,100,23,100
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,Black,222,211,95,211,95
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,Economically Disadvantaged,276,244,88.4,244,88.4
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,English Learners,77,63,81.8,63,81.8
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,Female,336,321,95.5,321,95.5
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,Foster Care,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,Hispanic,129,113,87.6,113,87.6
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,Homeless,<,<,<,<,<
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,Male,304,277,91.1,277,91.1
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,Military Connected,38,38,100,38,100
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,Multiple Races,32,30,93.8,30,93.8
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,Native Hawaiian,<,<,100,<,100
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,Students with Disabilities,75,65,86.7,65,86.7
2023,SCH,Chesterfield County Public Schools,Thomas Dale High,White,229,216,94.3,216,94.3
2023,SCH,Clarke County Public Schools,Clarke County High,All Students,191,191,100,191,100
2023,SCH,Clarke County Public Schools,Clarke County High,Black,<,<,100,<,100
2023,SCH,Clarke County Public Schools,Clarke County High,Economically Disadvantaged,37,37,100,37,100
2023,SCH,Clarke County Public Schools,Clarke County High,English Learners,<,<,100,<,100
2023,SCH,Clarke County Public Schools,Clarke County High,Female,90,90,100,90,100
