Per Pupil Spending,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Level Code,Division,School,End-of-Year Average Daily Membership,School-Level Expenditures Per-Pupil Federal,School-Level Expenditures Per-Pupil State,School-Level Expenditures Per-Pupil Subtotal,Division-Level Expenditures Per-Pupil Federal,Division-Level Expenditures Per-Pupil State,Division-Level Expenditures Per-Pupil Subtotal,Total Per-Pupil Expenditures,Per-Pupil Exclusions,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
2023 - 2024,SCH,King George County Public Schools,Sealston Elementary ,722.25,313,7926,8239,717,4138,4855,13094,384058,9457068,1030,12064
2023 - 2024,SCH,King William County Public Schools,Acquinton Elementary,444.01,717,8649,9366,378,3503,3881,13247,6220,5881952,1095,12152
2023 - 2024,SCH,King William County Public Schools,Cool Spring Primary,516.64,1079,8576,9655,378,3503,3881,13536,0,6993461,1457,12079
2023 - 2024,SCH,King William County Public Schools,Hamilton Holmes Middle,459.81,109,8440,8549,378,3503,3881,12430,0,5715649,487,11943
2023 - 2024,SCH,King William County Public Schools,King William High,665.87,625,8315,8940,378,3503,3881,12821,526377,8536986,1003,11818
2023 - 2024,SCH,King and Queen County Public Schools,Central High,254.27,1364,12186,13550,248,5246,5494,19044,167102,4842258,1612,17432
2023 - 2024,SCH,King and Queen County Public Schools,King & Queen Elementary,283.93,1110,8336,9446,248,5246,5494,14940,0,4241926,1358,13582
2023 - 2024,SCH,King and Queen County Public Schools,Lawson-Marriott Elementary,302.84,958,8073,9031,248,5246,5494,14525,0,4398648,1206,13319
2023 - 2024,SCH,Lancaster County Public Schools,Lancaster Elementary,543.31,1379,10224,11603,146,5544,5690,17293,533966,9395361,1525,15768
2023 - 2024,SCH,Lancaster County Public Schools,Lancaster High,398.01,430,10392,10822,146,5544,5690,16512,707174,6571826,576,15936
2023 - 2024,SCH,Lee County Public Schools,Dryden Elementary,256.08,1316,8293,9610,659,2826,3485,13095,590102,3353369,1975,11119
2023 - 2024,SCH,Lee County Public Schools,Elk Knob Elementary,301.94,1568,7873,9441,659,2826,3485,12926,506189,3902943,2227,10699
2023 - 2024,SCH,Lee County Public Schools,Elydale Middle,137.26,2832,9769,12601,659,2826,3485,16086,616425,2207984,3491,12595
2023 - 2024,SCH,Lee County Public Schools,Flatwoods Elementary,347.54,1347,8297,9644,659,2826,3485,13130,390091,4563029,2006,11123
2023 - 2024,SCH,Lee County Public Schools,Jonesville Middle,242.18,2075,9269,11344,659,2826,3485,14829,235239,3591254,2734,12095
2023 - 2024,SCH,Lee County Public Schools,Lee High,777.32,476,7992,8468,659,2826,3485,11954,620848,9291792,1135,10818
2023 - 2024,SCH,Lee County Public Schools,Pennington Middle,283.97,2149,9347,11496,659,2826,3485,14981,272638,4254196,2808,12173
2023 - 2024,SCH,Lee County Public Schools,Rose Hill Elementary,246.28,1993,8079,10073,659,2826,3485,13558,257182,3339006,2652,10905
2023 - 2024,SCH,Lee County Public Schools,St. Charles Elementary,113.32,2592,11032,13624,659,2826,3485,17109,233128,1938805,3251,13858
2023 - 2024,SCH,Lee County Public Schools,Thomas Walker High,280.76,2892,10544,13436,659,2826,3485,16921,396956,4750823,3551,13370
2023 - 2024,SCH,Lexington City Public Schools,Harrington Waddell Elementary,328.31,932,8522,9454,105,4100,4205,13660,0,4484581,1037,12622
2023 - 2024,SCH,Lexington City Public Schools,Lylburn Downing Middle,175.97,41,10981,11022,105,4100,4205,15227,0,2679556,146,15081
2023 - 2024,SCH,Loudoun County Public Schools,Aldie Elementary,98.41,86,30240,30326,-2,2331,2328,32654,1103875,3213519,84,32571
2023 - 2024,SCH,Loudoun County Public Schools,Algonkian Elementary,449.56,579,20468,21047,-2,2331,2328,23376,822823,10508716,577,22799
2023 - 2024,SCH,Loudoun County Public Schools,Arcola Elementary,797.31,227,17355,17582,-2,2331,2328,19911,1954720,15874950,225,19686
2023 - 2024,SCH,Loudoun County Public Schools,Ashburn Elementary,526.27,317,18345,18662,-2,2331,2328,20990,4602088,11046531,315,20676
2023 - 2024,SCH,Loudoun County Public Schools,Ball's Bluff Elementary,473.23,578,19387,19965,-2,2331,2328,22293,9914392,10549935,576,21718
2023 - 2024,SCH,Loudoun County Public Schools,Banneker Elementary,145,746,30101,30848,-2,2331,2328,33176,3742083,4810552,744,32432
2023 - 2024,SCH,Loudoun County Public Schools,Belmont Ridge Middle,1073.24,173,16102,16275,-2,2331,2328,18603,1238527,19965987,171,18433
2023 - 2024,SCH,Loudoun County Public Schools,Belmont Station Elementary ,650.35,220,17487,17707,-2,2331,2328,20035,669099,13029951,218,19818
2023 - 2024,SCH,Loudoun County Public Schools,Blue Ridge Middle,736.34,232,19709,19941,-2,2331,2328,22269,4727887,16397703,230,22040
2023 - 2024,SCH,Loudoun County Public Schools,Brambleton Middle,1689.05,325,14809,15134,-2,2331,2328,17462,963627,29494152,323,17140
2023 - 2024,SCH,Loudoun County Public Schools,Briar Woods High ,1748.24,149,17447,17596,-2,2331,2328,19924,854380,34832770,147,19778
2023 - 2024,SCH,Loudoun County Public Schools,Broad Run High,1574.51,154,18551,18705,-2,2331,2328,21034,1850694,33117613,152,20882
2023 - 2024,SCH,Loudoun County Public Schools,Buffalo Trail Elementary,810.67,228,15844,16072,-2,2331,2328,18400,520185,14916594,226,18175
2023 - 2024,SCH,Loudoun County Public Schools,Cardinal Ridge Elementary ,877.38,76,13595,13672,-2,2331,2328,16000,763065,14038160,74,15926
2023 - 2024,SCH,Loudoun County Public Schools,Catoctin Elementary,589.43,89,18727,18816,-2,2331,2328,21144,1320004,12463161,87,21058
2023 - 2024,SCH,Loudoun County Public Schools,Cedar Lane Elementary,702.15,92,17285,17377,-2,2331,2328,19706,968309,13836318,90,19616
2023 - 2024,SCH,Loudoun County Public Schools,Cool Spring Elementary,611.95,122,18180,18301,-2,2331,2328,20630,961303,12624480,120,20511
2023 - 2024,SCH,Loudoun County Public Schools,Countryside Elementary,635.31,561,16934,17495,-2,2331,2328,19823,638488,12593898,559,19265
2023 - 2024,SCH,Loudoun County Public Schools,Creighton's Corner Elementary,847.56,430,15708,16139,-2,2331,2328,18467,609629,15651931,428,18039
2023 - 2024,SCH,Loudoun County Public Schools,Discovery Elementary,697.86,651,17168,17818,-2,2331,2328,20147,550136,14059643,649,19499
2023 - 2024,SCH,Loudoun County Public Schools,Dominion High,1471.47,516,20316,20831,-2,2331,2328,23160,5407099,34078623,514,22647
2023 - 2024,SCH,Loudoun County Public Schools,Dominion Trail Elementary,582.07,264,17995,18259,-2,2331,2328,20587,392128,11983092,262,20326
2023 - 2024,SCH,Loudoun County Public Schools,Eagle Ridge Middle,1282.29,219,15553,15773,-2,2331,2328,18101,1421472,23210755,217,17884
2023 - 2024,SCH,Loudoun County Public Schools,Elaine E. Thompson Elementary,1021.1,76,13542,13618,-2,2331,2328,15946,334883,16282914,74,15873
2023 - 2024,SCH,Loudoun County Public Schools,Emerick Elementary,417.85,83,18699,18782,-2,2331,2328,21110,2802666,8820833,81,21030
2023 - 2024,SCH,Loudoun County Public Schools,Evergreen Mill Elementary,580.87,491,18592,19083,-2,2331,2328,21411,699526,12437067,489,20923
2023 - 2024,SCH,Loudoun County Public Schools,Farmwell Station Middle,980.22,396,16706,17102,-2,2331,2328,19431,837589,19046248,394,19037
2023 - 2024,SCH,Loudoun County Public Schools,Forest Grove Elementary,543.68,1078,20180,21258,-2,2331,2328,23586,622999,12823257,1076,22511
2023 - 2024,SCH,Loudoun County Public Schools,Frances Hazel Reid Elementary,650.14,520,18255,18775,-2,2331,2328,21104,469032,13720300,518,20586
2023 - 2024,SCH,Loudoun County Public Schools,Frederick Douglass Elementary,556.12,466,22652,23118,-2,2331,2328,25446,517109,14151234,464,24983
2023 - 2024,SCH,Loudoun County Public Schools,Freedom High ,1967.26,253,16539,16792,-2,2331,2328,19120,10182956,37614530,251,18870
2023 - 2024,SCH,Loudoun County Public Schools,Goshen Post Elementary,985.09,328,14486,14814,-2,2331,2328,17142,381610,16886784,326,16817
2023 - 2024,SCH,Loudoun County Public Schools,Guilford Elementary,542.6,459,18040,18499,-2,2331,2328,20827,533454,11300902,457,20371
2023 - 2024,SCH,Loudoun County Public Schools,Hamilton Elementary,168.49,709,27555,28264,-2,2331,2328,30593,1160522,5154555,707,29886
2023 - 2024,SCH,Loudoun County Public Schools,Harmony Middle,1135.93,422,18725,19147,-2,2331,2328,21476,511238,24394759,420,21056
2023 - 2024,SCH,Loudoun County Public Schools,Harper Park Middle,881.16,358,19077,19435,-2,2331,2328,21764,4621298,19177152,356,21408
2023 - 2024,SCH,Loudoun County Public Schools,Heritage High,1514.07,377,20985,21361,-2,2331,2328,23690,4546850,35868128,375,23316
2023 - 2024,SCH,Loudoun County Public Schools,Hillsboro Charter Academy,142.99,16,24104,24120,-2,2331,2328,26448,217340,3781802,14,26435
2023 - 2024,SCH,Loudoun County Public Schools,Hillside Elementary,694.09,223,15198,15421,-2,2331,2328,17749,418275,12319368,221,17529
2023 - 2024,SCH,Loudoun County Public Schools,Horizon Elementary,482.03,573,18584,19157,-2,2331,2328,21485,1286594,10356563,571,20915
2023 - 2024,SCH,Loudoun County Public Schools,Hovatter Elementary,962.51,153,14542,14696,-2,2331,2328,17024,299757,16385769,151,16873
2023 - 2024,SCH,Loudoun County Public Schools,Hutchison Farm Elementary,682.82,560,17309,17870,-2,2331,2328,20198,411552,13791613,558,19640
2023 - 2024,SCH,Loudoun County Public Schools,Independence High,2070.94,196,15890,16087,-2,2331,2328,18415,732139,38136373,194,18221
2023 - 2024,SCH,Loudoun County Public Schools,J. Lupton Simpson Middle,881.99,390,18790,19180,-2,2331,2328,21509,7730765,18970505,388,21121
2023 - 2024,SCH,Loudoun County Public Schools,J. Michael Lunsford Middle,1234.63,257,16927,17184,-2,2331,2328,19512,524027,24090235,255,19258
2023 - 2024,SCH,Loudoun County Public Schools,John Champe High,1742.44,278,17132,17411,-2,2331,2328,19739,9995136,34394284,276,19463
2023 - 2024,SCH,Loudoun County Public Schools,John W. Tolbert Jr. Elementary ,618.05,88,18190,18278,-2,2331,2328,20606,687189,12735544,86,20521
2023 - 2024,SCH,Loudoun County Public Schools,Kenneth W.Culbert Elementary,408.88,368,23527,23894,-2,2331,2328,26223,265342,10722026,366,25858
2023 - 2024,SCH,Loudoun County Public Schools,Leesburg Elementary,424.52,233,22998,23232,-2,2331,2328,25560,2447578,10850715,231,25329
2023 - 2024,SCH,Loudoun County Public Schools,Legacy Elementary ,643.94,87,17275,17362,-2,2331,2328,19690,689969,12679219,85,19606
2023 - 2024,SCH,Loudoun County Public Schools,Liberty Elementary,869.74,191,14886,15077,-2,2331,2328,17406,398219,15138355,189,17217
2023 - 2024,SCH,Loudoun County Public Schools,Lightridge High,1922.3,78,16289,16367,-2,2331,2328,18695,635608,35937994,76,18620
2023 - 2024,SCH,Loudoun County Public Schools,Lincoln Elementary,91.27,73,30721,30795,-2,2331,2328,33123,1087951,3023132,71,33052
2023 - 2024,SCH,Loudoun County Public Schools,Little River Elementary,708.15,490,16706,17195,-2,2331,2328,19524,1016591,13825761,488,19037
2023 - 2024,SCH,Loudoun County Public Schools,Loudoun County High,1408.05,221,20020,20240,-2,2331,2328,22569,4790433,31778107,219,22351
2023 - 2024,SCH,Loudoun County Public Schools,Loudoun Valley High,1158.97,303,21753,22056,-2,2331,2328,24384,3143869,28260373,301,24084
2023 - 2024,SCH,Loudoun County Public Schools,Lovettsville Elementary,506.77,87,19527,19615,-2,2331,2328,21943,867794,11120222,85,21858
2023 - 2024,SCH,Loudoun County Public Schools,Lowes Island Elementary,539.61,93,20090,20183,-2,2331,2328,22512,229587,12147652,91,22421
2023 - 2024,SCH,Loudoun County Public Schools,Lucketts Elementary,258.44,88,20603,20691,-2,2331,2328,23019,503593,5949102,86,22934
2023 - 2024,SCH,Loudoun County Public Schools,Madison's Trust Elementary,901.31,582,14151,14733,-2,2331,2328,17062,1019046,15377755,580,16482
2023 - 2024,SCH,Loudoun County Public Schools,Meadowland Elementary,429.81,280,20598,20878,-2,2331,2328,23207,816190,9974453,278,22929
2023 - 2024,SCH,Loudoun County Public Schools,Mercer Middle ,1448.13,77,15526,15603,-2,2331,2328,17931,1779304,25966979,75,17857
2023 - 2024,SCH,Loudoun County Public Schools,Middleburg Community Charter,137.46,51,25121,25172,-2,2331,2328,27500,466898,3780199,49,27452
2023 - 2024,SCH,Loudoun County Public Schools,Mill Run Elementary,649.75,288,17061,17349,-2,2331,2328,19677,740560,12785126,286,19392
2023 - 2024,SCH,Loudoun County Public Schools,Moorefield Station Elementary,948.45,298,14843,15141,-2,2331,2328,17469,778670,16568825,296,17174
2023 - 2024,SCH,Loudoun County Public Schools,Mountain View Elementary,663.35,103,19102,19205,-2,2331,2328,21534,465017,14284450,101,21433
2023 - 2024,SCH,Loudoun County Public Schools,Newton-Lee Elementary ,547.57,111,19274,19385,-2,2331,2328,21714,410054,11889669,109,21605
2023 - 2024,SCH,Loudoun County Public Schools,Park View High,1434.8,301,20337,20639,-2,2331,2328,22967,12403973,32953472,299,22668
2023 - 2024,SCH,Loudoun County Public Schools,Pinebrook Elementary,856.74,185,16015,16200,-2,2331,2328,18528,420605,15873908,183,18346
2023 - 2024,SCH,Loudoun County Public Schools,Potomac Falls High,1676.88,358,17253,17611,-2,2331,2328,19940,9789788,33436185,356,19584
2023 - 2024,SCH,Loudoun County Public Schools,Potowmack Elementary,580.88,262,21788,22049,-2,2331,2328,24378,818374,14160572,260,24119
2023 - 2024,SCH,Loudoun County Public Schools,River Bend Middle,1202,275,17620,17895,-2,2331,2328,20224,1774400,24308970,273,19951
2023 - 2024,SCH,Loudoun County Public Schools,Riverside High,1755.52,395,16712,17107,-2,2331,2328,19436,655253,34119890,393,19043
2023 - 2024,SCH,Loudoun County Public Schools,Rock Ridge High,1535.69,329,17647,17976,-2,2331,2328,20305,3483108,31181499,327,19978
2023 - 2024,SCH,Loudoun County Public Schools,Rolling Ridge Elementary,555.97,530,20262,20792,-2,2331,2328,23120,3725383,12853999,528,22593
2023 - 2024,SCH,Loudoun County Public Schools,Rosa Lee Carter Elementary,801.5,243,16452,16695,-2,2331,2328,19023,335142,15247237,241,18783
2023 - 2024,SCH,Loudoun County Public Schools,Round Hill Elementary,578.45,93,19139,19232,-2,2331,2328,21561,700527,12471748,91,21470
2023 - 2024,SCH,Loudoun County Public Schools,Sanders Corner Elementary,467.63,436,18082,18518,-2,2331,2328,20847,629458,9748536,434,20413
2023 - 2024,SCH,Loudoun County Public Schools,Seldens Landing Elementary,532.63,252,16921,17174,-2,2331,2328,19502,1174122,10387349,250,19252
2023 - 2024,SCH,Loudoun County Public Schools,Seneca Ridge Middle,870.7,107,19038,19145,-2,2331,2328,21474,3224729,18697221,105,21369
2023 - 2024,SCH,Loudoun County Public Schools,Smart's Mill Middle ,878.48,614,19684,20299,-2,2331,2328,22627,881856,19877619,612,22015
2023 - 2024,SCH,Loudoun County Public Schools,Sterling Elementary,425.05,515,19768,20283,-2,2331,2328,22611,1112352,9610925,513,22099
2023 - 2024,SCH,Loudoun County Public Schools,Sterling Middle,948.02,575,19044,19619,-2,2331,2328,21947,4484902,20806577,573,21375
2023 - 2024,SCH,Loudoun County Public Schools,Steuart W. Weller Elementary,691.72,87,16231,16318,-2,2331,2328,18646,446676,12897939,85,18562
2023 - 2024,SCH,Loudoun County Public Schools,Stone Bridge High,1690.58,267,17065,17332,-2,2331,2328,19660,5017432,33237611,265,19396
2023 - 2024,SCH,Loudoun County Public Schools,Stone Hill Middle,1168.22,155,15982,16137,-2,2331,2328,18466,726541,21572221,153,18313
2023 - 2024,SCH,Loudoun County Public Schools,Sugarland Elementary,484.08,861,22237,23097,-2,2331,2328,25426,3477493,12308171,859,24568
2023 - 2024,SCH,Loudoun County Public Schools,Sully Elementary,472.89,900,20349,21249,-2,2331,2328,23577,502936,11149496,898,22680
2023 - 2024,SCH,Loudoun County Public Schools,Sycolin Creek Elementary,454.97,98,21925,22023,-2,2331,2328,24351,296822,11078946,96,24256
2023 - 2024,SCH,Loudoun County Public Schools,Trailside Middle,1163.5,147,16150,16296,-2,2331,2328,18625,478869,21670008,145,18481
2023 - 2024,SCH,Loudoun County Public Schools,Tuscarora High,1419.91,360,21056,21417,-2,2331,2328,23745,1503880,33715851,358,23387
2023 - 2024,SCH,Loudoun County Public Schools,W.O. Robey High,47.33,120,61939,62059,-2,2331,2328,64388,0,3047461,118,64270
2023 - 2024,SCH,Loudoun County Public Schools,Waterford Elementary,232.49,71,19624,19696,-2,2331,2328,22024,436843,5120350,69,21955
2023 - 2024,SCH,Loudoun County Public Schools,Waxpool Elementary,669.81,400,17847,18247,-2,2331,2328,20575,574668,13781528,398,20178
2023 - 2024,SCH,Loudoun County Public Schools,Willard Middle,1627.31,296,14804,15100,-2,2331,2328,17428,710582,28361446,294,17135
2023 - 2024,SCH,Loudoun County Public Schools,Woodgrove High,1525.93,307,20544,20851,-2,2331,2328,23180,10395543,35370714,305,22875
2023 - 2024,SCH,Louisa County Public Schools,Jouett Elementary,644.33,11585,0,11585,3881,0,3881,15466,338215,9965234,15466,0
2023 - 2024,SCH,Louisa County Public Schools,Louisa County High,1516.68,11854,0,11854,3881,0,3881,15735,878641,23865067,15735,0
2023 - 2024,SCH,Louisa County Public Schools,Louisa County Middle,1150.71,10310,0,10310,3881,0,3881,14191,704706,16330159,14191,0
2023 - 2024,SCH,Louisa County Public Schools,Moss-Nuckols Elementary,599.95,84,11326,11410,3881,0,3881,15291,298511,9173617,3965,11326
2023 - 2024,SCH,Louisa County Public Schools,Thomas Jefferson Elementary,640.74,11970,0,11970,3881,0,3881,15851,445516,10156112,15851,0
2023 - 2024,SCH,Louisa County Public Schools,Trevilians Elementary,536.52,10919,0,10919,3881,0,3881,14800,386335,7940261,14800,0
2023 - 2024,SCH,Lunenburg County Public Schools,Central High,476.97,1040,9544,10584,296,3706,4002,14586,328008,6957016,1336,13250
2023 - 2024,SCH,Lunenburg County Public Schools,Kenbridge Elementary,358.37,1525,10810,12334,296,3706,4002,16336,22312,5854402,1821,14516
2023 - 2024,SCH,Lunenburg County Public Schools,Lunenburg Middle,331.21,662,11056,11719,296,3706,4002,15721,0,5206917,958,14762
2023 - 2024,SCH,Lunenburg County Public Schools,Victoria Elementary,401.32,1803,9075,10879,296,3706,4002,14881,28477,5972039,2099,12781
2023 - 2024,SCH,Lynchburg City Public Schools,Bedford Hills Elementary,405.94,1504,9323,10827,446,4767,5213,16040,133737,6511358,1950,14090
2023 - 2024,SCH,Lynchburg City Public Schools,Dearington Elementary/Innovation ,176.72,2100,13078,15178,446,4767,5213,20391,141478,3603455,2546,17845
2023 - 2024,SCH,Lynchburg City Public Schools,E.C. Glass High ,1219.88,840,9682,10522,446,4767,5213,15735,836438,19195182,1286,14449
2023 - 2024,SCH,Lynchburg City Public Schools,Heritage Elementary,457.29,1457,8124,9581,446,4767,5213,14794,65464,6764966,1903,12891
2023 - 2024,SCH,Lynchburg City Public Schools,Heritage High,1068.7,721,9138,9859,446,4767,5213,15072,324405,16107183,1167,13905
2023 - 2024,SCH,Lynchburg City Public Schools,Linkhorne Elementary,381.41,1795,8306,10101,446,4767,5213,15314,4307,5840807,2241,13073
2023 - 2024,SCH,Lynchburg City Public Schools,Linkhorne Middle,563,769,9896,10665,446,4767,5213,15878,189221,8939323,1215,14663
2023 - 2024,SCH,Lynchburg City Public Schools,Paul Laurence Dunbar Middle for Innovation ,515.72,948,10040,10988,446,4767,5213,16201,86722,8355349,1394,14807
2023 - 2024,SCH,Lynchburg City Public Schools,Paul Munro Elementary,344.53,1798,6661,8460,446,4767,5213,13673,7647,4710628,2244,11428
2023 - 2024,SCH,Lynchburg City Public Schools,Perrymont Elementary,353.84,1503,8427,9930,446,4767,5213,15143,6210,5358055,1949,13194
2023 - 2024,SCH,Lynchburg City Public Schools,Robert S. Payne Elementary,463.51,2364,7215,9579,446,4767,5213,14792,36566,6856290,2810,11982
2023 - 2024,SCH,Lynchburg City Public Schools,Sandusky Elementary,337.52,1666,7410,9076,446,4767,5213,14289,123696,4822813,2112,12177
2023 - 2024,SCH,Lynchburg City Public Schools,Sandusky Middle,536.99,1252,8616,9867,446,4767,5213,15080,80375,8097841,1698,13383
2023 - 2024,SCH,Lynchburg City Public Schools,Sheffield Elementary,432.59,1578,8965,10543,446,4767,5213,15756,160112,6815925,2024,13732
2023 - 2024,SCH,Lynchburg City Public Schools,T.C. Miller Elementary School for Innovation,195.01,2145,10090,12235,446,4767,5213,17448,5816,3402447,2591,14857
2023 - 2024,SCH,Lynchburg City Public Schools,William M. Bass Elementary,194.29,3045,12964,16009,446,4767,5213,21222,142062,4123202,3491,17731
2023 - 2024,SCH,Madison County Public Schools,Madison County High,529.74,186,11091,11277,2,2783,2785,14061,127315,7448859,188,13874
2023 - 2024,SCH,Madison County Public Schools,Madison Primary,389.53,1591,9840,11430,2,2783,2785,14215,39596,5537273,1593,12623
2023 - 2024,SCH,Madison County Public Schools,Waverly Yowell Elementary,345.48,908,9906,10813,2,2783,2785,13598,570351,4697802,910,12689
2023 - 2024,SCH,Madison County Public Schools,William H. Wetsel Middle,403.17,18,10341,10359,2,2783,2785,13144,61133,5299168,20,13124
2023 - 2024,SCH,Manassas City Public Schools,Baldwin Elementary,643.6,717,11103,11820,400,5511,5911,17730,173635,11411346,1117,16614
2023 - 2024,SCH,Manassas City Public Schools,Baldwin Intermediate,251.59,677,13399,14076,400,5511,5911,19987,11472,5028548,1077,18910
2023 - 2024,SCH,Manassas City Public Schools,George Carr Round Elementary,520.49,786,14016,14802,400,5511,5911,20712,3927,10780640,1186,19527
2023 - 2024,SCH,Manassas City Public Schools,Grace E. Metz Middle ,1074.94,285,10570,10855,400,5511,5911,16766,41319,18022245,685,16081
2023 - 2024,SCH,Manassas City Public Schools,Jennie Dean Elementary,624.82,485,11326,11811,400,5511,5911,17722,22416,11072889,885,16837
2023 - 2024,SCH,Manassas City Public Schools,Mayfield Intermediate,863.55,466,10476,10942,400,5511,5911,16853,64556,14553033,866,15987
2023 - 2024,SCH,Manassas City Public Schools,Osbourn High,2305.54,243,10698,10941,400,5511,5911,16852,593552,38852215,643,16209
2023 - 2024,SCH,Manassas City Public Schools,Richard C. Haydon Elementary,629.49,857,10692,11549,400,5511,5911,17460,15080,10990825,1257,16203
2023 - 2024,SCH,Manassas City Public Schools,Weems Elementary,592.83,567,12012,12579,400,5511,5911,18490,19048,10961179,967,17523
2023 - 2024,SCH,Manassas Park City Public Schools,Cougar Elementary,838.88,534,11568,12103,221,3622,3843,15946,474488,13376637,755,15190
2023 - 2024,SCH,Manassas Park City Public Schools,Manassas Park Elementary,708.64,686,10597,11284,221,3622,3843,15127,545160,10719503,907,14219
2023 - 2024,SCH,Manassas Park City Public Schools,Manassas Park High,1111.79,218,9742,9961,221,3622,3843,13804,687467,15346867,439,13364
2023 - 2024,SCH,Manassas Park City Public Schools,Manassas Park Middle,751.03,189,11323,11512,221,3622,3843,15355,555823,11531860,410,14945
2023 - 2024,SCH,Martinsville City Public Schools,Albert Harris Elementary,408.24,3516,8634,12151,870,5101,5971,18121,0,7397908,4386,13735
2023 - 2024,SCH,Martinsville City Public Schools,Martinsville High,547.88,1574,10620,12194,870,5101,5971,18165,0,9952404,2444,15721
2023 - 2024,SCH,Martinsville City Public Schools,Martinsville Middle,393.12,1849,9099,10949,870,5101,5971,16919,0,6651354,2719,14200
2023 - 2024,SCH,Martinsville City Public Schools,Patrick Henry Elementary,342.17,2569,8519,11087,870,5101,5971,17058,0,5836846,3439,13620
2023 - 2024,SCH,Mathews County Public Schools,Mathews Elementary,295.06,1853,12077,13930,29,5784,5813,19743,18212,5825302,1882,17861
2023 - 2024,SCH,Mathews County Public Schools,Mathews High,288.07,296,14687,14984,29,5784,5813,20796,147277,5990774,325,20471
2023 - 2024,SCH,Mathews County Public Schools,Thomas Hunter Middle ,238.21,46,12254,12301,29,5784,5813,18113,0,4314772,75,18038
2023 - 2024,SCH,Mecklenburg County Public Schools,Chase City Elementary,402.66,0,7877,7877,1573,5198,6772,14648,0,5898299,1573,13075
2023 - 2024,SCH,Mecklenburg County Public Schools,Clarksville Elementary,432.57,0,8973,8973,1573,5198,6772,15745,0,6810661,1573,14171
2023 - 2024,SCH,Mecklenburg County Public Schools,LaCrosse Elementary ,362.11,0,9130,9130,1573,5198,6772,15902,0,5758191,1573,14328
2023 - 2024,SCH,Mecklenburg County Public Schools,Mecklenburg County High,1101.7,0,9055,9055,1573,5198,6772,15827,455204,17436254,1573,14253
2023 - 2024,SCH,Mecklenburg County Public Schools,Mecklenburg County Middle,787.77,0,8861,8861,1573,5198,6772,15633,0,12315080,1573,14059
2023 - 2024,SCH,Mecklenburg County Public Schools,South Hill Elementary,748.47,0,6822,6822,1573,5198,6772,13593,0,10174285,1573,12020
2023 - 2024,SCH,Middlesex County Public Schools,Middlesex Elementary,594.66,1455,9233,10687,222,4601,4823,15510,418606,9223181,1677,13834
2023 - 2024,SCH,Middlesex County Public Schools,Middlesex High,352.95,927,12703,13630,222,4601,4823,18452,582308,6512692,1149,17304
2023 - 2024,SCH,Middlesex County Public Schools,St. Clare Walker Middle,267.05,703,10195,10899,222,4601,4823,15721,211680,4198332,925,14796
2023 - 2024,SCH,Montgomery County Public Schools,Auburn Elementary,558.66,599,8748,9347,233,4595,4829,14176,2887,7919323,832,13343
2023 - 2024,SCH,Montgomery County Public Schools,Auburn High,380.64,227,12758,12984,233,4595,4829,17813,47837,6780285,460,17353
2023 - 2024,SCH,Montgomery County Public Schools,Auburn Middle,308.06,565,10280,10845,233,4595,4829,15674,61665,4828382,798,14875
2023 - 2024,SCH,Montgomery County Public Schools,Belview Elementary,234.6,1484,11769,13253,233,4595,4829,18081,37387,4241879,1717,16364
2023 - 2024,SCH,Montgomery County Public Schools,Blacksburg High,1303.08,416,8341,8757,233,4595,4829,13586,126299,17703140,649,12936
2023 - 2024,SCH,Montgomery County Public Schools,Blacksburg Middle,982.03,158,8315,8473,233,4595,4829,13302,179434,13062729,391,12910
2023 - 2024,SCH,Montgomery County Public Schools,Christiansburg Elementary,417.68,947,8882,9830,233,4595,4829,14659,3874,6122579,1180,13477
2023 - 2024,SCH,Montgomery County Public Schools,Christiansburg High,1044.86,460,9081,9541,233,4595,4829,14370,104629,15014145,693,13676
2023 - 2024,SCH,Montgomery County Public Schools,Christiansburg Middle,753.07,545,8754,9300,233,4595,4829,14128,136410,10639631,778,13349
2023 - 2024,SCH,Montgomery County Public Schools,Christiansburg Primary,387.02,520,9633,10152,233,4595,4829,14981,3555,5797969,753,14228
2023 - 2024,SCH,Montgomery County Public Schools,Eastern Montgomery Elementary,372.38,1653,9993,11646,233,4595,4829,16475,3900,6134940,1886,14588
2023 - 2024,SCH,Montgomery County Public Schools,Eastern Montgomery High,254.23,881,15747,16628,233,4595,4829,21457,30864,5455005,1114,20342
2023 - 2024,SCH,Montgomery County Public Schools,Falling Branch Elementary,563.76,621,9990,10611,233,4595,4829,15440,4764,8704256,854,14585
2023 - 2024,SCH,Montgomery County Public Schools,Gilbert Linkous Elementary,312.32,104,9582,9686,233,4595,4829,14514,121956,4533138,337,14177
2023 - 2024,SCH,Montgomery County Public Schools,Harding Avenue Elementary,285.62,382,8997,9379,233,4595,4829,14208,73715,4058004,615,13592
2023 - 2024,SCH,Montgomery County Public Schools,Kipps Elementary,366.74,498,8995,9494,233,4595,4829,14322,0,5252593,731,13590
2023 - 2024,SCH,Montgomery County Public Schools,Margaret Beeks Elementary,323.29,342,9912,10254,233,4595,4829,15082,0,4875942,575,14507
2023 - 2024,SCH,Montgomery County Public Schools,Prices Fork Elementary,452.16,389,1430,1819,233,4595,4829,6648,0,3005743,622,6025
