Per Pupil Spending,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Year,Level Code,Division,School,End-of-Year Average Daily Membership,School-Level Expenditures Per-Pupil Federal,School-Level Expenditures Per-Pupil State,School-Level Expenditures Per-Pupil Subtotal,Division-Level Expenditures Per-Pupil Federal,Division-Level Expenditures Per-Pupil State,Division-Level Expenditures Per-Pupil Subtotal,Total Per-Pupil Expenditures,Per-Pupil Exclusions,Total Expenditures,Per-Pupil Federal Funds,Per-Pupil State Funds
2023 - 2024,SCH,Arlington County Public Schools,Jamestown Elementary,464.46,29,15078,15107,409,9161,9570,24677,5672,11461551,438,24239
2023 - 2024,SCH,Arlington County Public Schools,Jefferson Middle,1105.71,44,15451,15495,409,9161,9570,25065,17322,27714171,453,24612
2023 - 2024,SCH,Arlington County Public Schools,Kenmore Middle,1018.07,4,15293,15296,409,9161,9570,24866,9382,25315328,413,24454
2023 - 2024,SCH,Arlington County Public Schools,Long Branch Elementary,435.97,0,22279,22279,409,9161,9570,31848,2801,13884981,409,31440
2023 - 2024,SCH,Arlington County Public Schools,Montessori Public School of Arlington,523.29,0,7470,7470,409,9161,9570,17040,9788,8916986,409,16631
2023 - 2024,SCH,Arlington County Public Schools,Nottingham Elementary,374.29,0,14137,14137,409,9161,9570,23707,2481,8873170,409,23298
2023 - 2024,SCH,Arlington County Public Schools,Oakridge Elementary,647.27,81,12969,13050,409,9161,9570,22620,27172,14640950,490,22130
2023 - 2024,SCH,Arlington County Public Schools,Randolph Elementary,402.23,978,20163,21140,409,9161,9570,30710,1989,12352490,1387,29324
2023 - 2024,SCH,Arlington County Public Schools,Swanson Middle,965.11,4,13985,13989,409,9161,9570,23559,12385,22736674,413,23146
2023 - 2024,SCH,Arlington County Public Schools,Taylor Elementary,531.1,0,13819,13819,409,9161,9570,23389,4146,12421635,409,22980
2023 - 2024,SCH,Arlington County Public Schools,Tuckahoe Elementary,452.24,121,13371,13491,409,9161,9570,23061,3572,10429197,530,22532
2023 - 2024,SCH,Arlington County Public Schools,Wakefield High,2697.08,18,11136,11154,409,9161,9570,20724,55093,55893993,427,20297
2023 - 2024,SCH,Arlington County Public Schools,Washington-Liberty High,2891.81,20,8618,8638,409,9161,9570,18208,91490,52652786,429,17779
2023 - 2024,SCH,Arlington County Public Schools,Williamsburg Middle,854.72,0,13381,13381,409,9161,9570,22951,17727,19616612,409,22542
2023 - 2024,SCH,Arlington County Public Schools,Yorktown High,2490.81,5,10776,10781,409,9161,9570,20351,95829,50690309,414,19937
2023 - 2024,SCH,Augusta County Public Schools,Buffalo Gap High,404.57,290,11543,11833,480,3883,4362,16195,0,6551973,770,15426
2023 - 2024,SCH,Augusta County Public Schools,Cassell Elementary,637.55,761,7458,8219,480,3883,4362,12582,0,8021380,1241,11341
2023 - 2024,SCH,Augusta County Public Schools,Churchville Elementary,448.97,554,7595,8149,480,3883,4362,12512,0,5617377,1034,11478
2023 - 2024,SCH,Augusta County Public Schools,Craigsville Elementary,127,890,15275,16165,480,3883,4362,20527,0,2606917,1370,19158
2023 - 2024,SCH,Augusta County Public Schools,Edward G. Clymore Elementary,781.67,460,7105,7565,480,3883,4362,11927,0,9323280,940,10988
2023 - 2024,SCH,Augusta County Public Schools,Fort Defiance High,713.4,117,9365,9483,480,3883,4362,13845,0,9877126,597,13248
2023 - 2024,SCH,Augusta County Public Schools,Guy K. Stump Elementary,451.74,369,7703,8072,480,3883,4362,12435,0,5617328,849,11586
2023 - 2024,SCH,Augusta County Public Schools,North River Elementary,235.75,727,10154,10881,480,3883,4362,15243,0,3593538,1207,14037
2023 - 2024,SCH,Augusta County Public Schools,Riverheads Elementary,724.24,508,7618,8125,480,3883,4362,12488,0,9043977,988,11501
2023 - 2024,SCH,Augusta County Public Schools,Riverheads High,438.72,239,9620,9859,480,3883,4362,14222,0,6239310,719,13503
2023 - 2024,SCH,Augusta County Public Schools,S. Gordon Stewart Middle,518.25,183,8931,9115,480,3883,4362,13477,0,6984629,663,12814
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft Elementary,609.68,662,7651,8313,480,3883,4362,12676,0,7728050,1142,11534
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft High,677.28,152,9239,9391,480,3883,4362,13753,0,9314722,632,13122
2023 - 2024,SCH,Augusta County Public Schools,Stuarts Draft Middle,503.59,10,8842,8852,480,3883,4362,13214,0,6654461,490,12725
2023 - 2024,SCH,Augusta County Public Schools,Wilson Elementary,665.54,305,7654,7959,480,3883,4362,12321,0,8200352,785,11537
2023 - 2024,SCH,Augusta County Public Schools,Wilson Memorial High,843.25,261,8113,8374,480,3883,4362,12737,0,10740173,741,11996
2023 - 2024,SCH,Augusta County Public Schools,Wilson Middle,648.88,331,8408,8739,480,3883,4362,13101,0,8501017,811,12291
2023 - 2024,SCH,Bath County Public Schools,Bath County High,179.2,266,16870,17136,282,7247,7528,24664,69600,4419836,548,24117
2023 - 2024,SCH,Bath County Public Schools,Millboro Elementary,142.95,808,13545,14353,282,7247,7528,21882,6130,3127993,1090,20792
2023 - 2024,SCH,Bath County Public Schools,Valley Elementary,187.53,976,10905,11881,282,7247,7528,19409,8257,3639838,1258,18152
2023 - 2024,SCH,Bedford County Public Schools,Bedford Elementary,440.37,1153,8178,9331,13,3825,3838,13169,402466,5799251,1166,12003
2023 - 2024,SCH,Bedford County Public Schools,Bedford Primary,285.63,1147,9489,10636,13,3825,3838,14474,250751,4134211,1160,13314
2023 - 2024,SCH,Bedford County Public Schools,Big Island Elementary,161.91,757,8865,9621,13,3825,3838,13459,157230,2179170,770,12690
2023 - 2024,SCH,Bedford County Public Schools,Boonsboro Elementary,325.9,318,7714,8031,13,3825,3838,11869,200996,3868226,331,11539
2023 - 2024,SCH,Bedford County Public Schools,Forest Elementary,361.16,582,7132,7713,13,3825,3838,11551,192741,4171928,595,10957
2023 - 2024,SCH,Bedford County Public Schools,Forest Middle,876.03,431,7587,8018,13,3825,3838,11856,345050,10386170,444,11412
2023 - 2024,SCH,Bedford County Public Schools,Goodview Elementary,500.25,1007,8224,9231,13,3825,3838,13069,326451,6537573,1020,12049
2023 - 2024,SCH,Bedford County Public Schools,Huddleston Elementary,225.57,1057,9062,10119,13,3825,3838,13957,253022,3148366,1070,12887
2023 - 2024,SCH,Bedford County Public Schools,Jefferson Forest High,1285.98,516,7538,8054,13,3825,3838,11891,905239,15292231,529,11363
2023 - 2024,SCH,Bedford County Public Schools,Liberty High,710.46,463,9401,9864,13,3825,3838,13702,433233,9734945,476,13226
