Provisionally Licensed,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Year,Division,School,Level,Poverty Level,Special Education Percent,Provisional Percent,Title 1 Code,y,x10
2023 - 2024,Alexandria City Public Schools,James K. Polk Elementary,SCH,Medium Poverty,0,8,0,4,Title I
2023 - 2024,Alexandria City Public Schools,Jefferson-Houston PK-8 School,SCH,Medium Poverty,1.9,22.2,1,12,All Schools
2023 - 2024,Alexandria City Public Schools,Jefferson-Houston PK-8 School,SCH,Medium Poverty,1.9,22.2,1,12,Title I
2023 - 2024,Alexandria City Public Schools,John Adams Elementary,SCH,Medium Poverty,2.1,8.5,1,4,All Schools
2023 - 2024,Alexandria City Public Schools,John Adams Elementary,SCH,Medium Poverty,2.1,8.5,1,4,Title I
2023 - 2024,Alexandria City Public Schools,Lyles-Crouch Elementary,SCH,Low Poverty,0,0,0,0,All Schools
2023 - 2024,Alexandria City Public Schools,Lyles-Crouch Elementary,SCH,Low Poverty,0,0,0,0,Non-Title I
2023 - 2024,Alexandria City Public Schools,Mount Vernon Elementary,SCH,Medium Poverty,0,2,0,1,All Schools
2023 - 2024,Alexandria City Public Schools,Mount Vernon Elementary,SCH,Medium Poverty,0,2,0,1,Non-Title I
2023 - 2024,Alexandria City Public Schools,Naomi L. Brooks Elementary,SCH,Low Poverty,0,4.5,0,1,All Schools
2023 - 2024,Alexandria City Public Schools,Naomi L. Brooks Elementary,SCH,Low Poverty,0,4.5,0,1,Non-Title I
2023 - 2024,Alexandria City Public Schools,Patrick Henry K-8 School,SCH,High Poverty,0,1.8,0,1,All Schools
2023 - 2024,Alexandria City Public Schools,Patrick Henry K-8 School,SCH,High Poverty,0,1.8,0,1,Title I
2023 - 2024,Alexandria City Public Schools,Samuel W. Tucker Elementary,SCH,Medium Poverty,0,7.3,0,3,All Schools
2023 - 2024,Alexandria City Public Schools,Samuel W. Tucker Elementary,SCH,Medium Poverty,0,7.3,0,3,Non-Title I
2023 - 2024,Alexandria City Public Schools,William Ramsay Elementary,SCH,Medium Poverty,0,8.3,0,3,All Schools
2023 - 2024,Alexandria City Public Schools,William Ramsay Elementary,SCH,Medium Poverty,0,8.3,0,3,Title I
2023 - 2024,Alleghany Highlands Public Schools,Alleghany High,SCH,Medium Poverty,0,16.4,0,11,All Schools
2023 - 2024,Alleghany Highlands Public Schools,Alleghany High,SCH,Medium Poverty,0,16.4,0,11,Non-Title I
2023 - 2024,Alleghany Highlands Public Schools,Callaghan Elementary,SCH,Medium Poverty,0,5.6,0,1,All Schools
2023 - 2024,Alleghany Highlands Public Schools,Callaghan Elementary,SCH,Medium Poverty,0,5.6,0,1,Title I
2023 - 2024,Alleghany Highlands Public Schools,Covington Middle,SCH,Medium Poverty,0,7.1,0,3,All Schools
2023 - 2024,Alleghany Highlands Public Schools,Covington Middle,SCH,Medium Poverty,0,7.1,0,3,Non-Title I
2023 - 2024,Alleghany Highlands Public Schools,Jeter-Watson Elementary,SCH,Medium Poverty,0,3.1,0,1,All Schools
