Breakfast Participation of Eligible Students,,,,
,,,,
,,,,
Year,Division,School,Level,Percent
2023 - 2024,Hanover County Public Schools,Rural Point Elementary,SCH,37.8
2023 - 2024,Hanover County Public Schools,South Anna Elementary,SCH,30.5
2023 - 2024,Hanover County Public Schools,Washington-Henry Elementary ,SCH,40.5
2023 - 2024,Harrisonburg City Public Schools,Bluestone Elementary,SCH,81
2023 - 2024,Harrisonburg City Public Schools,Harrisonburg High,SCH,48.2
2023 - 2024,Harrisonburg City Public Schools,Keister Elementary,SCH,91.2
2023 - 2024,Harrisonburg City Public Schools,Skyline Middle,SCH,60.2
2023 - 2024,Harrisonburg City Public Schools,Smithland Elementary,SCH,89.4
2023 - 2024,Harrisonburg City Public Schools,Spotswood Elementary,SCH,93
2023 - 2024,Harrisonburg City Public Schools,Stone Spring Elementary,SCH,83.2
2023 - 2024,Harrisonburg City Public Schools,Thomas Harrison Middle,SCH,42.6
2023 - 2024,Harrisonburg City Public Schools,Waterman Elementary,SCH,84
2023 - 2024,Henrico County Public Schools,Anthony P. Mehfoud Elementary,SCH,53.2
2023 - 2024,Henrico County Public Schools,Arthur Ashe Jr. Elementary ,SCH,73.5
2023 - 2024,Henrico County Public Schools,Brookland Middle,SCH,43.1
2023 - 2024,Henrico County Public Schools,Cashell Donahoe Elementary,SCH,57
2023 - 2024,Henrico County Public Schools,Chamberlayne Elementary,SCH,59.3
2023 - 2024,Henrico County Public Schools,Charles M. Johnson Elementary,SCH,53.4
2023 - 2024,Henrico County Public Schools,Colonial Trail Elementary,SCH,27.9
2023 - 2024,Henrico County Public Schools,Crestview Elementary,SCH,42.1
2023 - 2024,Henrico County Public Schools,David A. Kaechele Elementary ,SCH,21.8
2023 - 2024,Henrico County Public Schools,Deep Run High,SCH,8.3
2023 - 2024,Henrico County Public Schools,Douglas S. Freeman High,SCH,17.8
2023 - 2024,Henrico County Public Schools,Dumbarton Elementary,SCH,71.7
2023 - 2024,Henrico County Public Schools,Echo Lake Elementary,SCH,33
2023 - 2024,Henrico County Public Schools,Elizabeth Holladay Elementary,SCH,64.5
2023 - 2024,Henrico County Public Schools,Elko Middle,SCH,44.3
2023 - 2024,Henrico County Public Schools,Fair Oaks Elementary,SCH,72.4
2023 - 2024,Henrico County Public Schools,Fairfield Middle,SCH,28.7
2023 - 2024,Henrico County Public Schools,Gayton Elementary,SCH,19.5
2023 - 2024,Henrico County Public Schools,George F. Baker Elementary,SCH,79.9
2023 - 2024,Henrico County Public Schools,George H. Moody Middle,SCH,32.6
2023 - 2024,Henrico County Public Schools,Glen Allen Elementary,SCH,35.6
2023 - 2024,Henrico County Public Schools,Glen Allen High,SCH,8.1
2023 - 2024,Henrico County Public Schools,Glen Lea Elementary,SCH,72.6
2023 - 2024,Henrico County Public Schools,Greenwood Elementary ,SCH,26.1
2023 - 2024,Henrico County Public Schools,Harold Macon Ratcliffe Elementary,SCH,87.4
2023 - 2024,Henrico County Public Schools,Harvie Elementary,SCH,68.5
2023 - 2024,Henrico County Public Schools,Henrico High,SCH,28
2023 - 2024,Henrico County Public Schools,Henry D. Ward Elementary,SCH,71.3
2023 - 2024,Henrico County Public Schools,Hermitage High,SCH,25.1
2023 - 2024,Henrico County Public Schools,Highland Springs Elementary,SCH,76.4
2023 - 2024,Henrico County Public Schools,Highland Springs High,SCH,18
2023 - 2024,Henrico County Public Schools,Holman Middle ,SCH,42.9
2023 - 2024,Henrico County Public Schools,Hungary Creek Middle ,SCH,28.6
2023 - 2024,Henrico County Public Schools,Jackson Davis Elementary,SCH,36.7
2023 - 2024,Henrico County Public Schools,Jacob L. Adams Elementary,SCH,67.5
2023 - 2024,Henrico County Public Schools,John Randolph Tucker High,SCH,17.4
2023 - 2024,Henrico County Public Schools,John Rolfe Middle,SCH,43.2
2023 - 2024,Henrico County Public Schools,L. Douglas Wilder Middle,SCH,51.7
2023 - 2024,Henrico County Public Schools,Laburnum Elementary,SCH,71.6
2023 - 2024,Henrico County Public Schools,Lakeside Elementary,SCH,36.5
2023 - 2024,Henrico County Public Schools,Longdale Elementary,SCH,56.9
2023 - 2024,Henrico County Public Schools,Maude Trevvett Elementary,SCH,48.8
2023 - 2024,Henrico County Public Schools,Maybeury Elementary,SCH,37.2
2023 - 2024,Henrico County Public Schools,Mills E. Godwin High,SCH,1.6
2023 - 2024,Henrico County Public Schools,Montrose Elementary,SCH,66
2023 - 2024,Henrico County Public Schools,Nuckols Farm Elementary,SCH,21.1
2023 - 2024,Henrico County Public Schools,Pemberton Elementary,SCH,33.4
2023 - 2024,Henrico County Public Schools,Pinchbeck Elementary,SCH,22.8
2023 - 2024,Henrico County Public Schools,Pocahontas Middle,SCH,24.3
2023 - 2024,Henrico County Public Schools,Quioccasin Middle,SCH,33.4
2023 - 2024,Henrico County Public Schools,R.C. Longan Elementary,SCH,59.4
2023 - 2024,Henrico County Public Schools,Ridge Elementary,SCH,69.5
2023 - 2024,Henrico County Public Schools,Rivers Edge Elementary,SCH,16.4
2023 - 2024,Henrico County Public Schools,Ruby F. Carver Elementary,SCH,47.8
2023 - 2024,Henrico County Public Schools,Sandston Elementary,SCH,65.3
2023 - 2024,Henrico County Public Schools,Seven Pines Elementary,SCH,68.7
2023 - 2024,Henrico County Public Schools,Shady Grove Elementary,SCH,23.2
2023 - 2024,Henrico County Public Schools,Short Pump Elementary,SCH,29.7
2023 - 2024,Henrico County Public Schools,Short Pump Middle,SCH,23.2
2023 - 2024,Henrico County Public Schools,Skipwith Elementary,SCH,55.9
2023 - 2024,Henrico County Public Schools,Springfield Park Elementary,SCH,25.5
2023 - 2024,Henrico County Public Schools,Three Chopt Elementary,SCH,43.4
2023 - 2024,Henrico County Public Schools,Tuckahoe Elementary,SCH,21.4
2023 - 2024,Henrico County Public Schools,Tuckahoe Middle,SCH,17.6
2023 - 2024,Henrico County Public Schools,Twin Hickory Elementary,SCH,22.8
2023 - 2024,Henrico County Public Schools,Varina Elementary,SCH,74.7
2023 - 2024,Henrico County Public Schools,Varina High,SCH,27.9
2023 - 2024,Henry County Public Schools,Axton Elementary,SCH,69
2023 - 2024,Henry County Public Schools,Bassett High,SCH,24.2
2023 - 2024,Henry County Public Schools,Campbell Court Elementary,SCH,73.4
2023 - 2024,Henry County Public Schools,Drewry Mason Elementary,SCH,55.5
2023 - 2024,Henry County Public Schools,Fieldale-Collinsville Middle ,SCH,44.7
2023 - 2024,Henry County Public Schools,G.W. Carver Elementary ,SCH,48.7
2023 - 2024,Henry County Public Schools,Laurel Park Middle ,SCH,37.7
2023 - 2024,Henry County Public Schools,Magna Vista High,SCH,27
2023 - 2024,Henry County Public Schools,Meadow View Elementary,SCH,58.1
2023 - 2024,Henry County Public Schools,Mount Olivet Elementary ,SCH,78.5
2023 - 2024,Henry County Public Schools,Rich Acres Elementary,SCH,54.7
2023 - 2024,Henry County Public Schools,Sanville Elementary,SCH,65.5
2023 - 2024,Henry County Public Schools,Stanleytown Elementary,SCH,62.5
2023 - 2024,Highland County Public Schools,Highland Elementary,SCH,67.9
2023 - 2024,Highland County Public Schools,Highland High,SCH,59.3
2023 - 2024,Hopewell City Public Schools,Carter G. Woodson Middle,SCH,36.2
2023 - 2024,Hopewell City Public Schools,Dupont Elementary,SCH,65
2023 - 2024,Hopewell City Public Schools,Harry E. James Elementary,SCH,68.3
2023 - 2024,Hopewell City Public Schools,Hopewell High,SCH,25.1
2023 - 2024,Hopewell City Public Schools,Patrick Copeland Elementary,SCH,63.6
2023 - 2024,Isle of Wight County Public Schools,Carrollton Elementary,SCH,58.5
2023 - 2024,Isle of Wight County Public Schools,Carrsville Elementary,SCH,57
2023 - 2024,Isle of Wight County Public Schools,Georgie D. Tyler Middle,SCH,23.9
2023 - 2024,Isle of Wight County Public Schools,Hardy Elementary,SCH,56.2
2023 - 2024,Isle of Wight County Public Schools,Smithfield High,SCH,15.2
2023 - 2024,Isle of Wight County Public Schools,Smithfield Middle,SCH,32.8
2023 - 2024,Isle of Wight County Public Schools,Westside Elementary,SCH,45.3
2023 - 2024,Isle of Wight County Public Schools,Windsor Elementary,SCH,52
2023 - 2024,Isle of Wight County Public Schools,Windsor High,SCH,23.2
2023 - 2024,King George County Public Schools,King George Elementary,SCH,55.4
2023 - 2024,King George County Public Schools,King George High,SCH,18.2
2023 - 2024,King George County Public Schools,King George Middle,SCH,26.9
2023 - 2024,King George County Public Schools,Potomac Elementary,SCH,49.1
2023 - 2024,King George County Public Schools,Sealston Elementary ,SCH,42.8
2023 - 2024,King William County Public Schools,Acquinton Elementary,SCH,52.5
2023 - 2024,King William County Public Schools,Cool Spring Primary,SCH,65.6
2023 - 2024,King William County Public Schools,Hamilton Holmes Middle,SCH,47.9
2023 - 2024,King William County Public Schools,King William High,SCH,25
2023 - 2024,King and Queen County Public Schools,Central High,SCH,53.9
2023 - 2024,King and Queen County Public Schools,King & Queen Elementary,SCH,48.2
2023 - 2024,King and Queen County Public Schools,Lawson-Marriott Elementary,SCH,46.4
2023 - 2024,Lancaster County Public Schools,Lancaster Elementary,SCH,50.4
2023 - 2024,Lancaster County Public Schools,Lancaster High,SCH,27.1
2023 - 2024,Lee County Public Schools,Dryden Elementary,SCH,53.1
2023 - 2024,Lee County Public Schools,Elk Knob Elementary,SCH,55.1
2023 - 2024,Lee County Public Schools,Elydale Middle,SCH,54.6
2023 - 2024,Lee County Public Schools,Flatwoods Elementary,SCH,64.5
2023 - 2024,Lee County Public Schools,Jonesville Middle,SCH,54.5
2023 - 2024,Lee County Public Schools,Lee High,SCH,23.5
2023 - 2024,Lee County Public Schools,Pennington Middle,SCH,64.3
2023 - 2024,Lee County Public Schools,Rose Hill Elementary,SCH,71.6
2023 - 2024,Lee County Public Schools,St. Charles Elementary,SCH,72.2
2023 - 2024,Lee County Public Schools,Thomas Walker High,SCH,34
2023 - 2024,Lexington City Public Schools,Harrington Waddell Elementary,SCH,31.6
2023 - 2024,Lexington City Public Schools,Lylburn Downing Middle,SCH,17.8
2023 - 2024,Loudoun County Public Schools,Aldie Elementary,SCH,34.5
2023 - 2024,Loudoun County Public Schools,Algonkian Elementary,SCH,30.8
2023 - 2024,Loudoun County Public Schools,Arcola Elementary,SCH,19.7
2023 - 2024,Loudoun County Public Schools,Ashburn Elementary,SCH,22.8
2023 - 2024,Loudoun County Public Schools,Ball's Bluff Elementary,SCH,32.3
2023 - 2024,Loudoun County Public Schools,Banneker Elementary,SCH,54.6
2023 - 2024,Loudoun County Public Schools,Belmont Ridge Middle,SCH,11.3
2023 - 2024,Loudoun County Public Schools,Belmont Station Elementary ,SCH,37.6
2023 - 2024,Loudoun County Public Schools,Blue Ridge Middle,SCH,15.9
2023 - 2024,Loudoun County Public Schools,Brambleton Middle,SCH,41.3
2023 - 2024,Loudoun County Public Schools,Briar Woods High ,SCH,5.2
2023 - 2024,Loudoun County Public Schools,Broad Run High,SCH,13.1
2023 - 2024,Loudoun County Public Schools,Buffalo Trail Elementary,SCH,21.7
2023 - 2024,Loudoun County Public Schools,Cardinal Ridge Elementary ,SCH,29.6
2023 - 2024,Loudoun County Public Schools,Catoctin Elementary,SCH,27.5
2023 - 2024,Loudoun County Public Schools,Cedar Lane Elementary,SCH,36.7
2023 - 2024,Loudoun County Public Schools,Cool Spring Elementary,SCH,46.5
2023 - 2024,Loudoun County Public Schools,Countryside Elementary,SCH,40.8
2023 - 2024,Loudoun County Public Schools,Creighton's Corner Elementary,SCH,37.9
2023 - 2024,Loudoun County Public Schools,Discovery Elementary,SCH,36.8
2023 - 2024,Loudoun County Public Schools,Dominion High,SCH,20.6
2023 - 2024,Loudoun County Public Schools,Dominion Trail Elementary,SCH,56.3
2023 - 2024,Loudoun County Public Schools,Eagle Ridge Middle,SCH,12.8
2023 - 2024,Loudoun County Public Schools,Elaine E. Thompson Elementary,SCH,35
2023 - 2024,Loudoun County Public Schools,Emerick Elementary,SCH,35.5
2023 - 2024,Loudoun County Public Schools,Evergreen Mill Elementary,SCH,50.7
2023 - 2024,Loudoun County Public Schools,Farmwell Station Middle,SCH,14.8
2023 - 2024,Loudoun County Public Schools,Forest Grove Elementary,SCH,48.5
2023 - 2024,Loudoun County Public Schools,Frances Hazel Reid Elementary,SCH,42.2
2023 - 2024,Loudoun County Public Schools,Frederick Douglass Elementary,SCH,34.5
2023 - 2024,Loudoun County Public Schools,Freedom High ,SCH,13.4
2023 - 2024,Loudoun County Public Schools,Goshen Post Elementary,SCH,32.4
2023 - 2024,Loudoun County Public Schools,Guilford Elementary,SCH,47.8
2023 - 2024,Loudoun County Public Schools,Hamilton Elementary,SCH,33.9
2023 - 2024,Loudoun County Public Schools,Harmony Middle,SCH,6.4
2023 - 2024,Loudoun County Public Schools,Harper Park Middle,SCH,13.8
2023 - 2024,Loudoun County Public Schools,Heritage High,SCH,23.4
2023 - 2024,Loudoun County Public Schools,Hillsboro Charter Academy,SCH,22.4
2023 - 2024,Loudoun County Public Schools,Hillside Elementary,SCH,17.9
2023 - 2024,Loudoun County Public Schools,Horizon Elementary,SCH,27.5
2023 - 2024,Loudoun County Public Schools,Hovatter Elementary,SCH,24.3
2023 - 2024,Loudoun County Public Schools,Hutchison Farm Elementary,SCH,28.5
2023 - 2024,Loudoun County Public Schools,Independence High,SCH,14.1
2023 - 2024,Loudoun County Public Schools,J. Lupton Simpson Middle,SCH,18
2023 - 2024,Loudoun County Public Schools,J. Michael Lunsford Middle,SCH,9.7
2023 - 2024,Loudoun County Public Schools,John Champe High,SCH,26.3
2023 - 2024,Loudoun County Public Schools,John W. Tolbert Jr. Elementary ,SCH,29.9
2023 - 2024,Loudoun County Public Schools,Kenneth W.Culbert Elementary,SCH,16.1
2023 - 2024,Loudoun County Public Schools,Leesburg Elementary,SCH,54.3
2023 - 2024,Loudoun County Public Schools,Legacy Elementary ,SCH,13.1
2023 - 2024,Loudoun County Public Schools,Liberty Elementary,SCH,26.5
2023 - 2024,Loudoun County Public Schools,Lightridge High,SCH,10.9
2023 - 2024,Loudoun County Public Schools,Lincoln Elementary,SCH,16
2023 - 2024,Loudoun County Public Schools,Little River Elementary,SCH,19.2
2023 - 2024,Loudoun County Public Schools,Loudoun County High,SCH,7
2023 - 2024,Loudoun County Public Schools,Loudoun Valley High,SCH,7.5
2023 - 2024,Loudoun County Public Schools,Lovettsville Elementary,SCH,20.7
2023 - 2024,Loudoun County Public Schools,Lowes Island Elementary,SCH,7.1
2023 - 2024,Loudoun County Public Schools,Lucketts Elementary,SCH,29.2
2023 - 2024,Loudoun County Public Schools,Madison's Trust Elementary,SCH,10.3
2023 - 2024,Loudoun County Public Schools,Meadowland Elementary,SCH,40.6
2023 - 2024,Loudoun County Public Schools,Mercer Middle ,SCH,12
2023 - 2024,Loudoun County Public Schools,Mill Run Elementary,SCH,19.3
2023 - 2024,Loudoun County Public Schools,Moorefield Station Elementary,SCH,21.2
2023 - 2024,Loudoun County Public Schools,Mountain View Elementary,SCH,38.9
2023 - 2024,Loudoun County Public Schools,Newton-Lee Elementary ,SCH,25.6
2023 - 2024,Loudoun County Public Schools,Park View High,SCH,16.9
2023 - 2024,Loudoun County Public Schools,Pinebrook Elementary,SCH,16.2
2023 - 2024,Loudoun County Public Schools,Potomac Falls High,SCH,15.6
2023 - 2024,Loudoun County Public Schools,Potowmack Elementary,SCH,55.8
2023 - 2024,Loudoun County Public Schools,River Bend Middle,SCH,16.5
2023 - 2024,Loudoun County Public Schools,Riverside High,SCH,10.7
2023 - 2024,Loudoun County Public Schools,Rock Ridge High,SCH,26.8
2023 - 2024,Loudoun County Public Schools,Rolling Ridge Elementary,SCH,48.5
2023 - 2024,Loudoun County Public Schools,Rosa Lee Carter Elementary,SCH,30.8
2023 - 2024,Loudoun County Public Schools,Round Hill Elementary,SCH,24.8
2023 - 2024,Loudoun County Public Schools,Sanders Corner Elementary,SCH,34.5
2023 - 2024,Loudoun County Public Schools,Seldens Landing Elementary,SCH,27
2023 - 2024,Loudoun County Public Schools,Seneca Ridge Middle,SCH,18.9
2023 - 2024,Loudoun County Public Schools,Smart's Mill Middle ,SCH,57.5
2023 - 2024,Loudoun County Public Schools,Sterling Elementary,SCH,62.6
2023 - 2024,Loudoun County Public Schools,Sterling Middle,SCH,13.2
2023 - 2024,Loudoun County Public Schools,Steuart W. Weller Elementary,SCH,36.1
2023 - 2024,Loudoun County Public Schools,Stone Bridge High,SCH,8.6
2023 - 2024,Loudoun County Public Schools,Stone Hill Middle,SCH,15.1
2023 - 2024,Loudoun County Public Schools,Sugarland Elementary,SCH,68.3
2023 - 2024,Loudoun County Public Schools,Sully Elementary,SCH,51
2023 - 2024,Loudoun County Public Schools,Sycolin Creek Elementary,SCH,44.4
2023 - 2024,Loudoun County Public Schools,Trailside Middle,SCH,18.9
2023 - 2024,Loudoun County Public Schools,Tuscarora High,SCH,20.6
2023 - 2024,Loudoun County Public Schools,Waterford Elementary,SCH,22.2
2023 - 2024,Loudoun County Public Schools,Waxpool Elementary,SCH,28.3
2023 - 2024,Loudoun County Public Schools,Willard Middle,SCH,13.8
2023 - 2024,Loudoun County Public Schools,Woodgrove High,SCH,16.8
2023 - 2024,Louisa County Public Schools,Jouett Elementary,SCH,62.9
2023 - 2024,Louisa County Public Schools,Louisa County High,SCH,41.8
2023 - 2024,Louisa County Public Schools,Louisa County Middle,SCH,45
2023 - 2024,Louisa County Public Schools,Moss-Nuckols Elementary,SCH,56.9
2023 - 2024,Louisa County Public Schools,Thomas Jefferson Elementary,SCH,67.7
2023 - 2024,Louisa County Public Schools,Trevilians Elementary,SCH,60.9
2023 - 2024,Lunenburg County Public Schools,Central High,SCH,24.5
2023 - 2024,Lunenburg County Public Schools,Kenbridge Elementary,SCH,82.1
2023 - 2024,Lunenburg County Public Schools,Lunenburg Middle,SCH,28
2023 - 2024,Lunenburg County Public Schools,Victoria Elementary,SCH,71.8
2023 - 2024,Lynchburg City Public Schools,Bedford Hills Elementary,SCH,45
2023 - 2024,Lynchburg City Public Schools,Dearington Elementary/Innovation ,SCH,81.9
2023 - 2024,Lynchburg City Public Schools,E.C. Glass High ,SCH,17.3
2023 - 2024,Lynchburg City Public Schools,Heritage Elementary,SCH,52.9
2023 - 2024,Lynchburg City Public Schools,Heritage High,SCH,25.9
2023 - 2024,Lynchburg City Public Schools,Linkhorne Elementary,SCH,55.4
2023 - 2024,Lynchburg City Public Schools,Linkhorne Middle,SCH,37.7
2023 - 2024,Lynchburg City Public Schools,Paul Laurence Dunbar Middle for Innovation ,SCH,42.8
2023 - 2024,Lynchburg City Public Schools,Paul Munro Elementary,SCH,44.9
2023 - 2024,Lynchburg City Public Schools,Perrymont Elementary,SCH,68.3
2023 - 2024,Lynchburg City Public Schools,Robert S. Payne Elementary,SCH,64.6
2023 - 2024,Lynchburg City Public Schools,Sandusky Elementary,SCH,60.2
2023 - 2024,Lynchburg City Public Schools,Sandusky Middle,SCH,34.1
2023 - 2024,Lynchburg City Public Schools,Sheffield Elementary,SCH,69.6
2023 - 2024,Lynchburg City Public Schools,T.C. Miller Elementary School for Innovation,SCH,71.8
2023 - 2024,Lynchburg City Public Schools,William M. Bass Elementary,SCH,62.8
2023 - 2024,Madison County Public Schools,Madison County High,SCH,22.2
2023 - 2024,Madison County Public Schools,Madison Primary,SCH,70.5
2023 - 2024,Madison County Public Schools,Waverly Yowell Elementary,SCH,44.7
2023 - 2024,Madison County Public Schools,William H. Wetsel Middle,SCH,26.1
2023 - 2024,Manassas City Public Schools,Baldwin Elementary,SCH,47
2023 - 2024,Manassas City Public Schools,Baldwin Intermediate,SCH,48.6
2023 - 2024,Manassas City Public Schools,George Carr Round Elementary,SCH,51.2
2023 - 2024,Manassas City Public Schools,Grace E. Metz Middle ,SCH,27.8
2023 - 2024,Manassas City Public Schools,Jennie Dean Elementary,SCH,49.3
2023 - 2024,Manassas City Public Schools,Mayfield Intermediate,SCH,33.3
2023 - 2024,Manassas City Public Schools,Osbourn High,SCH,13.9
2023 - 2024,Manassas City Public Schools,Richard C. Haydon Elementary,SCH,37.8
2023 - 2024,Manassas City Public Schools,Weems Elementary,SCH,37.4
2023 - 2024,Manassas Park City Public Schools,Cougar Elementary,SCH,54.5
2023 - 2024,Manassas Park City Public Schools,Manassas Park Elementary,SCH,38.9
2023 - 2024,Manassas Park City Public Schools,Manassas Park High,SCH,32.6
2023 - 2024,Manassas Park City Public Schools,Manassas Park Middle,SCH,37.4
2023 - 2024,Martinsville City Public Schools,Albert Harris Elementary,SCH,81.5
2023 - 2024,Martinsville City Public Schools,Martinsville High,SCH,35.4
2023 - 2024,Martinsville City Public Schools,Martinsville Middle,SCH,31.2
2023 - 2024,Martinsville City Public Schools,Patrick Henry Elementary,SCH,90.3
2023 - 2024,Mathews County Public Schools,Mathews Elementary,SCH,31
2023 - 2024,Mathews County Public Schools,Mathews High,SCH,52.1
2023 - 2024,Mathews County Public Schools,Thomas Hunter Middle ,SCH,94.5
2023 - 2024,Mecklenburg County Public Schools,Chase City Elementary,SCH,68.3
2023 - 2024,Mecklenburg County Public Schools,Clarksville Elementary,SCH,65.3
2023 - 2024,Mecklenburg County Public Schools,LaCrosse Elementary ,SCH,42.5
2023 - 2024,Mecklenburg County Public Schools,Mecklenburg County High,SCH,25.9
2023 - 2024,Mecklenburg County Public Schools,Mecklenburg County Middle,SCH,39.2
2023 - 2024,Mecklenburg County Public Schools,South Hill Elementary,SCH,55.5
2023 - 2024,Middlesex County Public Schools,Middlesex Elementary,SCH,53.9
2023 - 2024,Middlesex County Public Schools,Middlesex High,SCH,34.2
2023 - 2024,Middlesex County Public Schools,St. Clare Walker Middle,SCH,46.3
2023 - 2024,Montgomery County Public Schools,Auburn Elementary,SCH,60.7
2023 - 2024,Montgomery County Public Schools,Auburn High,SCH,38.7
2023 - 2024,Montgomery County Public Schools,Auburn Middle,SCH,61
2023 - 2024,Montgomery County Public Schools,Belview Elementary,SCH,49
2023 - 2024,Montgomery County Public Schools,Blacksburg High,SCH,17.2
2023 - 2024,Montgomery County Public Schools,Blacksburg Middle,SCH,19.8
2023 - 2024,Montgomery County Public Schools,Christiansburg Elementary,SCH,32.6
2023 - 2024,Montgomery County Public Schools,Christiansburg High,SCH,31
2023 - 2024,Montgomery County Public Schools,Christiansburg Middle,SCH,18.2
2023 - 2024,Montgomery County Public Schools,Christiansburg Primary,SCH,54.4
2023 - 2024,Montgomery County Public Schools,Eastern Montgomery Elementary,SCH,62.5
2023 - 2024,Montgomery County Public Schools,Eastern Montgomery High,SCH,49.9
2023 - 2024,Montgomery County Public Schools,Falling Branch Elementary,SCH,49
2023 - 2024,Montgomery County Public Schools,Gilbert Linkous Elementary,SCH,47.5
2023 - 2024,Montgomery County Public Schools,Harding Avenue Elementary,SCH,21.9
2023 - 2024,Montgomery County Public Schools,Kipps Elementary,SCH,50.4
2023 - 2024,Montgomery County Public Schools,Margaret Beeks Elementary,SCH,55.1
2023 - 2024,Montgomery County Public Schools,Prices Fork Elementary,SCH,50.3
2023 - 2024,Montgomery County Public Schools,Shawsville Middle,SCH,55.5
2023 - 2024,Nelson County Public Schools,Nelson County High,SCH,27.6
2023 - 2024,Nelson County Public Schools,Nelson Middle,SCH,41.6
2023 - 2024,Nelson County Public Schools,Rockfish River Elementary,SCH,64.5
2023 - 2024,Nelson County Public Schools,Tye River Elementary,SCH,52
2023 - 2024,New Kent County Public Schools,George W. Watkins Elementary,SCH,59.7
2023 - 2024,New Kent County Public Schools,New Kent Elementary ,SCH,50.2
2023 - 2024,New Kent County Public Schools,New Kent High ,SCH,27.7
2023 - 2024,New Kent County Public Schools,New Kent Middle ,SCH,37.9
2023 - 2024,New Kent County Public Schools,Quinton Elementary,SCH,55.1
2023 - 2024,Newport News City Public Schools,Achievable Dream Academy,SCH,80.9
2023 - 2024,Newport News City Public Schools,Achievable Dream Middle/High ,SCH,59.8
2023 - 2024,Newport News City Public Schools,B.C. Charles Elementary ,SCH,84.1
2023 - 2024,Newport News City Public Schools,B.T. Washington Middle ,SCH,41.8
2023 - 2024,Newport News City Public Schools,Carver Elementary,SCH,77.2
2023 - 2024,Newport News City Public Schools,Crittenden Middle,SCH,48.1
2023 - 2024,Newport News City Public Schools,David A. Dutrow Elementary,SCH,76.8
2023 - 2024,Newport News City Public Schools,Deer Park Elementary,SCH,67.7
2023 - 2024,Newport News City Public Schools,Denbigh High,SCH,29.3
2023 - 2024,Newport News City Public Schools,Discovery STEM Academy,SCH,71.1
2023 - 2024,Newport News City Public Schools,Ella J. Fitzgerald Middle ,SCH,51.7
2023 - 2024,Newport News City Public Schools,Ethel M. Gildersleeve Middle,SCH,37.4
2023 - 2024,Newport News City Public Schools,General Stanford Elementary,SCH,73.1
2023 - 2024,Newport News City Public Schools,George J. McIntosh Elementary ,SCH,78.2
2023 - 2024,Newport News City Public Schools,Heritage High,SCH,37.3
2023 - 2024,Newport News City Public Schools,Hidenwood Elementary,SCH,65.3
2023 - 2024,Newport News City Public Schools,Hilton Elementary,SCH,45.5
2023 - 2024,Newport News City Public Schools,Homer L. Hines Middle,SCH,51.5
2023 - 2024,Newport News City Public Schools,Huntington Middle,SCH,55
2023 - 2024,Newport News City Public Schools,John Marshall Early Childhood Center,SCH,75.9
2023 - 2024,Newport News City Public Schools,Joseph H. Saunders Elementary,SCH,71.4
2023 - 2024,Newport News City Public Schools,Katherine Johnson Elementary,SCH,75.4
2023 - 2024,Newport News City Public Schools,Kiln Creek Elementary,SCH,65.6
2023 - 2024,Newport News City Public Schools,Knollwood Meadows Elementary ,SCH,64.1
2023 - 2024,Newport News City Public Schools,L.F. Palmer Elementary ,SCH,74.3
2023 - 2024,Newport News City Public Schools,Mary Passage Middle,SCH,55.1
2023 - 2024,Newport News City Public Schools,Menchville High,SCH,24.8
2023 - 2024,Newport News City Public Schools,Newsome Park Elementary,SCH,81.5
2023 - 2024,Newport News City Public Schools,Oliver C. Greenwood Elementary,SCH,75.9
2023 - 2024,Newport News City Public Schools,Richard T. Yates Elementary,SCH,67.9
2023 - 2024,Newport News City Public Schools,Richneck Elementary,SCH,63.4
2023 - 2024,Newport News City Public Schools,Riverside Elementary,SCH,63.2
2023 - 2024,Newport News City Public Schools,Sedgefield Elementary,SCH,71
2023 - 2024,Newport News City Public Schools,Stoney Run Elementary ,SCH,70.6
2023 - 2024,Newport News City Public Schools,T. Ryland Sanford Elementary,SCH,64.2
2023 - 2024,Newport News City Public Schools,Warwick High,SCH,30.1
2023 - 2024,Newport News City Public Schools,Willis A. Jenkins Elementary,SCH,76.8
2023 - 2024,Newport News City Public Schools,Woodside High,SCH,32.4
2023 - 2024,Norfolk City Public Schools,Academy for Discovery at Lakewood,SCH,43
2023 - 2024,Norfolk City Public Schools,Azalea Gardens Middle,SCH,43.1
2023 - 2024,Norfolk City Public Schools,Bay View Elementary,SCH,62.4
2023 - 2024,Norfolk City Public Schools,Blair Middle,SCH,35.4
2023 - 2024,Norfolk City Public Schools,Booker T Washington High,SCH,22.4
2023 - 2024,Norfolk City Public Schools,Camp Allen Elementary,SCH,68.6
2023 - 2024,Norfolk City Public Schools,Chesterfield Elementary,SCH,78.7
2023 - 2024,Norfolk City Public Schools,Coleman Place Elementary,SCH,78.7
2023 - 2024,Norfolk City Public Schools,Crossroads PreK-8 School,SCH,52.8
2023 - 2024,Norfolk City Public Schools,Ghent K-8,SCH,55.4
2023 - 2024,Norfolk City Public Schools,Granby Elementary,SCH,67.7
2023 - 2024,Norfolk City Public Schools,Granby High,SCH,17.1
2023 - 2024,Norfolk City Public Schools,Ingleside Elementary,SCH,75.6
2023 - 2024,Norfolk City Public Schools,Jacox Elementary,SCH,81.3
2023 - 2024,Norfolk City Public Schools,James Monroe Elementary,SCH,80.5
2023 - 2024,Norfolk City Public Schools,Lake Taylor,SCH,62.1
