Breakfast Participation of Eligible Students,,,,
,,,,
,,,,
Year,Division,School,Level,Percent
2023 - 2024,Chesapeake City Public Schools,Deep Creek Middle,SCH,57.6
2023 - 2024,Chesapeake City Public Schools,Edwin W. Chittum Elementary,SCH,30.6
2023 - 2024,Chesapeake City Public Schools,G.A. Treakle Elementary,SCH,49.3
2023 - 2024,Chesapeake City Public Schools,George W. Carver Intermediate,SCH,75.5
2023 - 2024,Chesapeake City Public Schools,Georgetown Primary,SCH,68.8
2023 - 2024,Chesapeake City Public Schools,Grassfield Elementary,SCH,30.9
2023 - 2024,Chesapeake City Public Schools,Grassfield High,SCH,9.4
2023 - 2024,Chesapeake City Public Schools,Great Bridge High,SCH,19.3
2023 - 2024,Chesapeake City Public Schools,Great Bridge Intermediate,SCH,33.1
2023 - 2024,Chesapeake City Public Schools,Great Bridge Middle,SCH,9.3
2023 - 2024,Chesapeake City Public Schools,Great Bridge Primary,SCH,23.6
2023 - 2024,Chesapeake City Public Schools,Greenbrier Intermediate,SCH,27.8
2023 - 2024,Chesapeake City Public Schools,Greenbrier Middle,SCH,24.3
2023 - 2024,Chesapeake City Public Schools,Greenbrier Primary,SCH,27.5
2023 - 2024,Chesapeake City Public Schools,Hickory Elementary,SCH,26.5
2023 - 2024,Chesapeake City Public Schools,Hickory High,SCH,6.1
2023 - 2024,Chesapeake City Public Schools,Hickory Middle,SCH,18
2023 - 2024,Chesapeake City Public Schools,Hugo A. Owens Middle,SCH,31.8
2023 - 2024,Chesapeake City Public Schools,Indian River High,SCH,23.4
2023 - 2024,Chesapeake City Public Schools,Indian River Middle,SCH,62
2023 - 2024,Chesapeake City Public Schools,Jolliff Middle,SCH,50.1
2023 - 2024,Chesapeake City Public Schools,Norfolk Highlands Primary,SCH,73.5
2023 - 2024,Chesapeake City Public Schools,Oscar F. Smith High,SCH,46.7
2023 - 2024,Chesapeake City Public Schools,Oscar Smith Middle,SCH,53.3
2023 - 2024,Chesapeake City Public Schools,Portlock Primary,SCH,75.9
2023 - 2024,Chesapeake City Public Schools,Rena B. Wright Primary,SCH,80.4
2023 - 2024,Chesapeake City Public Schools,Southeastern Elementary,SCH,26.4
2023 - 2024,Chesapeake City Public Schools,Southwestern Elementary,SCH,59.7
2023 - 2024,Chesapeake City Public Schools,Sparrow Road Intermediate,SCH,66.2
2023 - 2024,Chesapeake City Public Schools,Thurgood Marshall Elementary,SCH,94.1
2023 - 2024,Chesapeake City Public Schools,Truitt Intermediate,SCH,71.1
2023 - 2024,Chesapeake City Public Schools,Western Branch High,SCH,11.5
2023 - 2024,Chesapeake City Public Schools,Western Branch Intermediate,SCH,47.8
2023 - 2024,Chesapeake City Public Schools,Western Branch Middle,SCH,35.1
2023 - 2024,Chesapeake City Public Schools,Western Branch Primary,SCH,64.8
2023 - 2024,Chesterfield County Public Schools,A.M. Davis Elementary,SCH,63
2023 - 2024,Chesterfield County Public Schools,Alberta Smith Elementary,SCH,41.1
2023 - 2024,Chesterfield County Public Schools,Bailey Bridge Middle,SCH,54
2023 - 2024,Chesterfield County Public Schools,Bellwood Elementary,SCH,56
2023 - 2024,Chesterfield County Public Schools,Bensley Elementary,SCH,59.1
2023 - 2024,Chesterfield County Public Schools,Bettie Weaver Elementary,SCH,24.8
2023 - 2024,Chesterfield County Public Schools,Beulah Elementary,SCH,58.1
2023 - 2024,Chesterfield County Public Schools,Bon Air Elementary,SCH,37.6
2023 - 2024,Chesterfield County Public Schools,C.C. Wells Elementary,SCH,53.9
2023 - 2024,Chesterfield County Public Schools,C.E. Curtis Elementary,SCH,55.8
2023 - 2024,Chesterfield County Public Schools,Carver College and Career Academy,SCH,36.5
2023 - 2024,Chesterfield County Public Schools,Carver Middle,SCH,45
2023 - 2024,Chesterfield County Public Schools,Clover Hill Elementary,SCH,42.7
2023 - 2024,Chesterfield County Public Schools,Clover Hill High,SCH,17.3
2023 - 2024,Chesterfield County Public Schools,Cosby High,SCH,6.7
2023 - 2024,Chesterfield County Public Schools,Crestwood Elementary,SCH,56.6
2023 - 2024,Chesterfield County Public Schools,Ecoff Elementary,SCH,56.8
2023 - 2024,Chesterfield County Public Schools,Elizabeth Davis Middle,SCH,46.8
2023 - 2024,Chesterfield County Public Schools,Elizabeth Scott Elementary,SCH,52.3
2023 - 2024,Chesterfield County Public Schools,Enon Elementary,SCH,57.8
2023 - 2024,Chesterfield County Public Schools,Ettrick Elementary,SCH,67.3
2023 - 2024,Chesterfield County Public Schools,Evergreen Elementary,SCH,25.2
2023 - 2024,Chesterfield County Public Schools,Falling Creek Elementary,SCH,49.1
2023 - 2024,Chesterfield County Public Schools,Falling Creek Middle,SCH,30.5
2023 - 2024,Chesterfield County Public Schools,Grange Hall Elementary,SCH,36.2
2023 - 2024,Chesterfield County Public Schools,Greenfield Elementary,SCH,42
2023 - 2024,Chesterfield County Public Schools,Harrowgate Elementary,SCH,69.8
2023 - 2024,Chesterfield County Public Schools,Hopkins Road Elementary,SCH,50
2023 - 2024,Chesterfield County Public Schools,J.A. Chalkley Elementary,SCH,55
2023 - 2024,Chesterfield County Public Schools,J.B. Watkins Elementary,SCH,31.5
2023 - 2024,Chesterfield County Public Schools,J.G. Hening Elementary,SCH,48.4
